id,codice_transazione,importo,emittente,beneficiario,banca,data
62,992905,95276.78,5077,1454,118,2020-06-17
63,733874,866793.9,786,4587,1,2018-12-14
64,824715,21114.29,649,692,1,2016-03-19
65,770481,759496.61,5903,2288,59,2021-08-18
66,815423,191213.39,1317,25,64,2015-04-21
67,89158,852474.76,3032,1757,52,2017-06-19
68,920392,701805.32,4056,399,90,2012-05-30
69,35089,43500.41,5045,3728,88,2004-01-21
70,471306,680292.28,636,3617,19,2002-01-16
71,141778,88391.79,3966,1287,84,2003-09-19
72,446473,342012.92,2342,4999,117,2007-08-06
73,845470,337868.92,578,3912,94,2001-02-24
74,50029,511823.08,1560,2514,97,2010-12-23
75,595598,111516.78,5002,6196,27,2005-07-09
76,995560,461688.64,2707,1711,8,2002-06-28
77,661585,66978.03,3904,1350,20,2018-11-02
78,579415,458951.06,4280,4721,76,2000-09-09
79,813894,819805.86,4085,3911,60,2014-09-14
80,560748,728905.78,3280,4732,52,2009-11-15
81,601062,986890.03,4776,1232,7,2010-09-07
82,18248,288465.96,155,1341,115,2005-01-01
83,168758,842922.3,5965,3678,35,2016-07-06
84,326109,211702.28,1489,816,114,2019-07-12
85,941591,702464.29,387,1948,119,2002-06-25
86,46130,181802.69,1659,3919,1,2004-10-26
87,753686,450909.83,4146,3975,12,2008-12-31
88,588882,663974.13,4388,1487,29,2009-07-30
89,481635,394039.32,1091,2100,103,2010-09-03
90,755382,684437.74,1739,2357,73,2006-05-31
91,816278,205589.62,4596,2404,7,2019-09-13
92,419148,628191.08,6003,5713,54,2004-07-09
93,602203,743033.4,1426,5739,66,2005-08-28
94,497796,709597.75,5156,3594,47,2017-04-29
95,771402,451651.26,3685,3081,13,2001-06-29
96,754906,394024.04,2527,491,90,2010-04-04
97,417531,759641.2,5073,5517,96,2004-08-19
98,183931,568490.53,6157,5534,100,2008-05-18
99,593827,42508.52,54,4827,23,2017-06-12
100,898795,387213.31,1632,4005,14,2000-07-12
101,356824,201538.96,5692,6069,16,2008-08-19
102,110052,803775.2,1599,778,99,2003-10-11
103,939403,782874.22,2555,1075,76,2005-08-26
104,366448,989565.49,3025,2079,55,2017-04-14
105,560553,947371.51,5548,1353,86,2004-04-10
106,315232,614490.42,4497,5829,21,2004-08-05
107,790002,213571.37,5099,1211,0,2004-11-07
108,348424,443229.37,1802,1876,85,2017-12-11
109,393358,276572.5,5346,3349,66,2003-07-24
110,45224,6906.66,1707,2975,56,2001-01-04
111,668691,822685.85,1316,4003,115,2012-03-20
112,401357,431802.4,4498,2799,46,2019-08-10
113,994497,559661.92,3943,2046,54,2017-07-21
114,160698,182744.13,4186,749,40,2008-05-19
115,829098,5838.36,3537,4538,6,2015-12-03
116,425661,667862.91,5189,1548,43,2021-12-19
117,615606,313761.43,1664,3243,85,2022-01-15
118,43687,667780.16,5986,5149,38,2018-10-30
119,855419,7030.61,2001,2104,58,2017-03-30
120,144484,353574.89,1469,897,17,2013-07-14
121,912333,969424.86,2291,4127,85,2007-09-19
122,49968,109577.51,1626,847,111,2011-05-25
123,911042,94813.81,3360,1090,60,2005-04-24
124,484853,935671.45,3241,2299,76,2013-08-09
125,454822,480515.44,470,4598,100,2022-05-24
126,982713,861304.74,3466,4741,62,2017-04-26
127,865710,439545.5,1979,2210,39,2004-08-05
128,267298,872460.97,1781,181,89,2003-08-14
129,586536,100478.45,3195,558,77,2013-12-19
130,672818,120310.41,2155,6169,6,2009-12-25
131,975617,15196.44,1546,3689,105,2008-06-19
132,876951,68795.42,3823,2497,7,2014-05-07
133,14280,567236.11,600,1550,77,2005-10-18
134,118253,83226.88,73,2096,108,2008-08-21
135,402525,618560.39,5594,4204,84,2008-01-21
136,12420,673836.05,2714,1910,6,2007-01-08
137,458664,760634.52,4513,4623,27,2020-10-01
138,461987,639779.49,2136,3454,73,2006-02-14
139,22278,294425.18,6010,5425,12,2002-11-28
140,668449,765733.47,30,3157,99,2018-12-04
141,877098,884389.57,574,3733,116,2014-05-24
142,302045,563164.92,218,1927,7,2018-08-26
143,223993,166441.44,3626,1420,72,2022-05-06
144,259884,208165.74,3544,4223,66,2011-03-29
145,919441,280625.77,946,1529,113,2008-07-24
146,646298,766408.8,3803,4635,0,2016-11-29
147,500634,219864.17,3242,3291,10,2000-05-15
148,133217,712358.64,5005,3849,119,2001-10-11
149,242504,99943.98,561,3901,106,2021-10-23
150,497291,106168.36,6112,3640,92,2015-03-08
151,993513,583897.41,2215,2858,119,2021-03-24
152,89403,364201.38,5323,2673,117,2001-01-01
153,731311,663587.7,1061,4612,86,2021-10-25
154,457461,333412.21,124,4851,76,2002-03-10
155,360297,88230.69,4125,2454,117,2002-09-14
156,965851,419017.66,2340,1554,35,2003-10-16
157,844805,818245.45,2763,3361,84,2003-08-30
158,593844,939188.22,5159,5987,42,2004-10-25
159,275294,884879.37,879,379,101,2011-06-08
160,138389,932707.8,3,1638,102,2001-08-04
161,885001,241957.65,1365,4529,104,2008-10-29
162,79935,849082.64,1695,2916,92,2009-03-22
163,64901,636965.18,3072,2893,90,2012-07-02
164,979302,274649.87,4717,3597,53,2016-06-15
165,643483,366453.4,773,2633,49,2005-10-08
166,854246,718721.45,2689,2960,103,2004-11-13
167,266505,922360.63,5427,2355,52,2014-11-08
168,609247,159218.97,4752,1287,53,2000-12-20
169,794098,545904.25,1950,4521,117,2008-08-01
170,992378,786157.1,5314,2986,14,2000-12-01
171,404013,966419.9,5650,5090,70,2004-02-19
172,386284,737761.44,5919,5233,39,2014-04-08
173,365039,519557.17,1381,5749,14,2019-10-18
174,470903,261530.46,4258,2356,50,2009-08-26
175,236194,96496.91,2516,1769,14,2006-01-27
176,283797,287534.73,2886,921,83,2014-04-30
177,190948,750152.02,5721,1918,0,2011-08-14
178,536829,809335.73,526,3588,38,2003-03-12
179,131439,886734.02,2134,189,74,2000-10-09
180,190824,985118.82,4385,3812,110,2016-07-01
181,737387,895088.91,215,3633,8,2004-05-01
182,625988,583157.87,1927,607,70,2017-04-06
183,825061,817376.99,484,2544,64,2013-03-06
184,676900,113904.18,6129,699,96,2008-04-21
185,127733,97141.05,4488,6112,71,2013-11-26
186,491767,512639.11,3452,2649,52,2012-07-31
187,162221,181629.47,3888,5056,60,2004-12-17
188,12278,606128.87,2696,4098,53,2020-02-02
189,956032,453273.86,4146,1986,86,2015-09-13
190,299784,339946.74,1706,543,83,2019-04-05
191,460615,122544.6,2952,6133,28,2001-10-23
192,934697,412584.04,3944,215,73,2016-04-28
193,238264,463024.63,3793,616,95,2021-02-28
194,377667,369815.63,4357,3712,96,2008-04-07
195,117529,422374.46,2949,3480,32,2015-09-07
196,505005,5756.02,5747,2417,85,2015-09-12
197,401402,947935.5,2807,2449,88,2020-04-06
198,481468,618466.08,2876,1491,103,2002-06-01
199,141950,67192.36,5957,2435,41,2010-06-29
200,383804,520916.42,1820,5124,85,2014-03-12
201,446063,436844.62,1521,4515,58,2021-03-04
202,408342,338840.95,2681,4809,44,2019-09-17
203,652065,579612.55,4348,829,100,2006-11-08
204,860851,906207.84,2219,919,74,2001-10-30
205,925547,977312.02,2795,5137,75,2017-04-08
206,152563,200039.83,1852,2674,111,2013-07-10
207,216992,424601.59,2954,1314,119,2001-11-11
208,859550,448882.54,903,3338,61,2005-02-13
209,7533,733389.84,5206,786,117,2000-10-20
210,690707,889753.25,553,344,90,2021-02-22
211,916004,611103.32,4910,3578,1,2007-10-28
212,860611,768925.17,3915,5033,78,2006-02-10
213,664302,145591.21,5857,1419,102,2005-11-15
214,97229,757283.04,1701,3482,42,2012-10-09
215,41536,555421.4,2554,3599,39,2021-05-08
216,93247,153211.64,1417,1540,89,2007-01-25
217,205277,63399.46,6068,5609,116,2017-04-11
218,345078,919988.94,959,1488,22,2012-08-05
219,709522,539529.87,3605,6145,23,2020-04-24
220,296368,631779.8,733,2486,51,2002-11-25
221,408515,247102.31,5838,5469,54,2006-06-03
222,642558,850166.78,5658,6169,13,2006-02-16
223,787537,875773.21,2456,1506,8,2014-10-26
224,168137,444092.19,1286,582,62,2007-08-10
225,816601,793122.13,657,2298,107,2002-11-05
226,439658,391522.26,1255,2723,57,2005-11-23
227,819917,620622.23,821,5072,20,2000-03-23
228,127487,550334.82,3394,5007,13,2008-05-18
229,673368,602737.67,665,2459,85,2014-05-10
230,854468,223191.37,3071,1397,113,2012-06-17
231,925403,218397.87,2658,3198,93,2000-08-27
232,584740,181411.69,3574,1917,99,2005-10-10
233,27977,406700.0,608,3978,46,2009-02-23
234,852799,500913.52,5457,4955,19,2003-07-17
235,520923,294889.5,2753,2288,51,2019-05-21
236,339099,666919.47,3528,488,108,2001-05-10
237,359488,748775.73,5089,5111,80,2001-06-30
238,651154,528783.19,668,984,106,2008-11-02
239,60635,533234.73,4904,2044,73,2012-12-31
240,57649,636625.08,2852,2055,96,2012-10-27
241,788965,300582.22,4125,4818,35,2017-10-26
242,969864,913134.12,3443,397,21,2003-11-27
243,522280,949557.77,5982,418,25,2016-08-10
244,743804,826814.92,5794,2069,100,2017-03-28
245,105898,909960.45,4384,1296,59,2007-02-11
246,262454,528830.69,2659,1327,67,2011-04-07
247,265395,313487.01,2507,1812,16,2019-03-07
248,212844,265455.56,4779,1137,12,2018-10-06
249,566618,259770.84,2741,6037,9,2015-06-10
250,960669,637222.19,2304,1490,111,2021-10-26
251,192583,461952.69,3392,1349,62,2018-09-14
252,711156,333734.33,5393,4568,36,2010-11-14
253,346411,918761.03,3610,1136,69,2014-02-27
254,719268,70170.25,5390,2651,51,2014-05-12
255,466939,759989.12,3329,3789,92,2008-08-29
256,165374,125037.4,2076,3291,0,2020-12-15
257,200544,540452.46,609,5300,31,2011-12-09
258,993713,154308.47,4003,4176,25,2004-10-12
259,992925,84691.85,1135,5314,30,2000-05-27
260,802668,454915.85,4435,5542,58,2006-11-08
261,906692,572739.21,2756,1993,28,2010-01-02
262,72381,794869.14,4630,3687,12,2011-04-16
263,425769,600914.41,3969,5706,54,2018-03-12
264,446783,697462.02,4880,5962,14,2005-03-07
265,420243,628745.96,1446,4159,93,2020-02-06
266,201111,587574.54,1908,4850,11,2021-06-04
267,300356,429517.75,5760,3988,64,2006-05-15
268,31683,977359.71,3388,213,47,2021-06-08
269,953537,230907.27,5027,2372,78,2007-02-21
270,559482,125410.42,1510,1748,51,2014-04-05
271,181260,437322.99,3483,4410,106,2011-10-25
272,801983,55488.48,736,4968,100,2017-09-24
273,688611,350653.17,3774,3655,15,2008-05-05
274,883547,842341.8,4721,391,25,2005-01-28
275,526423,834081.69,3416,774,115,2001-08-22
276,245006,984118.12,4891,228,89,2009-09-28
277,556848,90821.33,3046,769,93,2003-05-05
278,402842,192621.38,743,5252,0,2005-05-18
279,315403,75653.67,56,571,3,2009-10-29
280,360188,550178.01,415,2290,35,2021-09-23
281,725159,8672.83,4989,308,53,2017-04-27
282,457457,555202.62,2030,1612,65,2007-04-07
283,86538,471533.85,5948,5571,94,2007-11-07
284,229628,448595.91,5862,2912,35,2018-11-10
285,976452,278620.85,250,5423,66,2017-03-24
286,156627,119241.5,5481,4775,81,2018-12-06
287,566223,257900.7,5535,2050,9,2013-06-07
288,570058,180034.32,2890,5052,71,2021-04-29
289,102202,680533.32,4705,1364,43,2003-03-31
290,758308,869701.74,1969,743,103,2009-08-11
291,951792,408254.73,3753,4683,117,2017-04-09
292,679716,20724.18,1546,901,25,2000-06-01
293,840422,702691.19,747,5805,35,2018-06-07
294,927065,451741.76,3975,2323,92,2018-05-28
295,894446,61488.43,2874,3169,54,2018-07-25
296,397280,666099.19,4494,930,96,2005-08-06
297,575508,381190.23,3160,4621,119,2004-02-06
298,768906,57297.11,4371,1535,3,2013-09-08
299,328420,501083.83,4008,2494,82,2010-07-19
300,681751,953148.21,1023,981,75,2006-11-25
301,412331,853333.12,44,1684,29,2007-12-24
302,202996,611367.45,290,5297,64,2020-01-02
303,315883,302631.29,70,2811,2,2003-12-19
304,390704,159665.85,5723,3610,91,2008-09-07
305,919661,413867.15,4531,2589,11,2001-04-30
306,392108,835852.11,1061,6140,61,2005-07-13
307,747450,584311.31,1275,869,51,2000-05-05
308,394032,202047.97,553,1971,99,2008-06-24
309,243794,162531.69,3388,3883,88,2007-09-28
310,311331,230218.55,39,5832,94,2007-11-07
311,226278,543456.98,4584,6210,52,2017-06-01
312,435522,445407.23,6223,3080,96,2020-07-11
313,487672,748379.27,1620,1046,8,2020-11-13
314,877691,568562.44,4007,3416,57,2020-09-23
315,414460,972128.66,4111,1971,78,2012-05-27
316,225220,737778.08,2839,705,117,2012-03-19
317,232723,551962.84,272,3844,83,2000-03-05
318,455559,570339.52,1611,4405,29,2021-08-07
319,744526,12372.38,2874,1740,13,2000-11-02
320,34797,609834.49,1430,1123,25,2007-03-19
321,790102,274967.29,1072,1939,54,2012-04-17
322,251525,342675.69,3848,4688,21,2004-01-19
323,66447,255309.13,6029,5179,115,2010-05-12
324,364979,590403.19,2313,5877,10,2000-01-26
325,533025,688605.31,5011,6024,96,2000-06-30
326,106615,100980.73,5490,5790,15,2021-06-21
327,216418,488898.15,3946,3571,38,2003-10-07
328,585192,114489.5,4862,5632,28,2010-04-18
329,595378,141820.28,3376,6060,112,2015-12-13
330,438328,892934.36,4200,218,93,2015-09-15
331,819278,741424.39,4930,2576,34,2003-06-08
332,967793,988941.98,3813,694,17,2001-02-15
333,160851,504643.38,1668,1383,22,2018-01-24
334,912390,723503.88,1715,2529,29,2020-01-31
335,126432,465552.59,553,1646,94,2014-03-12
336,684289,916421.49,851,4628,34,2004-05-13
337,839275,716544.5,4886,331,76,2011-02-05
338,947855,479996.26,4631,6198,87,2008-04-21
339,589954,721587.8,933,4080,55,2002-09-13
340,702573,692364.34,904,3089,30,2017-05-14
341,351799,814485.09,3055,4432,0,2020-01-30
342,489163,322888.3,2139,2650,93,2006-06-29
343,439835,608758.14,4101,899,6,2003-01-29
344,978851,919104.99,5396,6154,58,2015-03-13
345,452712,19748.52,5046,3043,77,2018-07-22
346,741522,506220.65,4459,4428,64,2014-02-17
347,857724,316974.06,5789,3814,53,2004-12-15
348,931022,602367.46,5897,5647,46,2000-01-09
349,784800,523414.51,522,4866,108,2015-06-04
350,749645,637807.02,4225,4340,19,2020-06-20
351,542876,182542.47,4063,5488,105,2011-11-29
352,430354,557785.36,2829,4583,52,2017-09-09
353,419555,382512.11,5578,4110,86,2014-11-04
354,882843,940388.76,3865,1092,75,2006-08-19
355,71285,990276.74,2215,4980,20,2008-10-11
356,976903,446462.05,1866,2264,9,2011-11-20
357,229270,597255.4,3126,5140,64,2000-03-10
358,463777,260237.22,4389,123,66,2005-08-11
359,292817,99857.53,3503,470,52,2003-07-30
360,568049,647857.8,655,3159,40,2006-11-26
361,409245,910148.85,448,4854,18,2007-07-24
362,609368,870860.83,1538,2065,71,2000-08-21
363,926911,6487.27,4425,4719,94,2011-04-13
364,931712,883267.93,2536,1904,109,2013-04-09
365,227758,170389.86,5127,151,68,2010-10-27
366,575872,412352.27,3176,5764,42,2004-11-02
367,139442,391051.61,3744,1432,2,2006-06-06
368,184307,968941.4,2274,2495,36,2009-07-07
369,523732,334239.22,3441,3024,29,2019-04-23
370,580890,506935.94,3648,4052,60,2011-11-16
371,955730,354200.67,2501,1579,81,2012-08-10
372,987196,228200.57,3562,1439,50,2005-07-17
373,924392,784162.91,5149,1265,25,2022-04-26
374,212122,485669.22,3134,5714,63,2001-09-01
375,99175,529146.14,93,1010,102,2005-02-18
376,87470,853001.98,6232,3665,94,2000-10-15
377,846036,604707.38,4985,4639,56,2013-04-25
378,85032,880249.99,5498,4732,0,2019-04-03
379,39186,750088.4,3572,2262,2,2016-09-07
380,81985,553030.63,4157,1532,24,2009-05-06
381,548653,314088.69,5966,2101,54,2004-05-17
382,480045,298335.68,3584,6244,11,2009-06-29
383,974909,667906.9,5510,4275,60,2000-12-06
384,369162,750382.92,1902,209,66,2011-02-08
385,470835,666915.6,3063,278,1,2009-03-05
386,23614,246176.12,5964,5087,79,2017-11-03
387,246013,166672.09,346,4907,61,2012-05-22
388,955733,867623.01,2506,2715,55,2006-10-11
389,956855,648424.05,4111,2718,8,2015-04-06
390,984213,693024.89,2638,3062,87,2020-01-24
391,730751,151283.15,1562,3567,28,2017-05-15
392,691029,490982.69,865,1445,66,2004-08-20
393,910190,767017.33,3271,4353,57,2013-10-16
394,365795,866387.97,3799,4886,112,2015-09-24
395,154366,409464.8,2038,2830,26,2022-05-20
396,348736,861287.31,5333,1338,78,2000-04-21
397,793590,311581.62,3426,2895,44,2001-05-17
398,209303,884090.48,2122,2651,28,2005-05-29
399,68199,837523.02,3083,4088,106,2010-09-09
400,397141,287963.16,2425,4841,60,2021-12-16
401,542056,317406.22,752,180,50,2002-06-30
402,65720,846596.69,3795,2979,93,2003-03-22
403,572713,154777.38,1596,5512,43,2022-01-11
404,377615,394802.35,4423,5940,13,2016-08-11
405,479455,628641.66,4739,5746,2,2001-12-06
406,326601,853922.36,1808,128,21,2008-05-18
407,723805,806783.98,3057,1561,73,2017-01-19
408,705722,13135.19,5102,5331,96,2013-06-12
409,877152,158232.29,4553,4104,85,2006-04-30
410,299383,909641.58,2184,4209,11,2016-08-23
411,597342,323012.06,2961,3755,53,2019-06-30
412,936473,237870.99,4614,5948,74,2000-10-19
413,861913,496051.28,3673,5095,113,2009-06-29
414,707829,357685.57,4773,4287,65,2015-12-28
415,456076,301526.2,3818,6087,42,2011-10-30
416,418452,172360.0,5134,4257,58,2005-05-21
417,615015,816090.42,5043,1613,95,2010-06-10
418,222954,436769.4,481,725,25,2007-06-26
419,767365,881327.17,1838,2306,44,2013-03-07
420,812849,775329.96,3350,1091,108,2010-01-09
421,914263,755267.42,4914,2038,117,2018-11-19
422,277809,341991.33,5994,5357,74,2001-05-02
423,740764,779194.0,2148,4984,49,2004-09-14
424,236799,549837.27,1981,766,73,2012-10-03
425,112607,862878.63,1589,3510,44,2007-02-20
426,265028,481813.29,1553,2322,67,2014-05-03
427,255570,963018.2,548,2349,92,2018-12-04
428,891857,210642.36,4581,5915,50,2016-05-11
429,772905,96568.47,1995,4013,117,2000-11-19
430,640414,455904.92,84,1344,54,2009-05-28
431,606611,418762.21,3796,5634,21,2017-01-23
432,580495,960888.98,3571,1144,1,2007-06-08
433,892820,63397.37,1563,6242,105,2004-01-05
434,879356,856253.88,2460,5131,12,2010-05-12
435,185193,897181.13,4666,6079,16,2018-03-17
436,81056,601545.25,935,271,35,2022-05-20
437,415735,961382.72,3782,2589,118,2016-05-22
438,869781,599611.69,3068,4197,50,2001-03-17
439,577318,170595.72,1054,1248,16,2001-01-24
440,416831,595758.97,1975,4866,64,2012-01-09
441,152280,592783.57,2084,3319,15,2006-01-31
442,512805,636068.43,5188,2418,73,2007-11-05
443,83871,219905.19,1408,4895,47,2015-06-18
444,450496,3579.49,4850,5333,63,2009-06-14
445,38497,44677.7,157,5824,54,2014-12-31
446,767251,587340.76,3084,107,119,2010-03-18
447,99052,343685.07,366,5567,118,2015-12-15
448,76380,647815.27,6156,4480,114,2014-01-25
449,593938,503797.97,4707,5906,102,2014-05-21
450,757220,732333.26,3090,4381,1,2003-07-29
451,669501,600480.01,1602,1780,75,2015-12-12
452,612865,879945.25,1399,3406,64,2008-12-24
453,977194,814898.0,909,2100,105,2015-04-11
454,446244,291562.7,3631,2225,44,2007-03-11
455,876990,870919.39,283,2173,37,2011-05-12
456,325805,831929.37,4834,2325,32,2003-02-21
457,458749,825696.91,4571,624,98,2019-05-22
458,547891,215308.81,1141,5374,67,2014-07-04
459,799357,148201.29,1077,4455,82,2005-02-11
460,786695,496413.29,5357,3888,88,2019-08-12
461,237589,975441.17,4668,2228,59,2013-09-13
462,886110,850590.21,3068,5842,27,2000-01-15
463,413116,175394.12,729,2069,101,2013-10-08
464,665121,342259.26,5999,4676,9,2020-11-23
465,469668,942039.37,892,4499,16,2001-09-06
466,814306,255342.55,5299,1808,119,2005-04-23
467,761165,481657.48,2691,5225,22,2015-12-27
468,322073,536008.81,2740,103,48,2014-01-22
469,688169,209445.17,4318,1629,21,2002-02-14
470,406323,281221.37,525,2566,97,2002-09-16
471,693907,273906.11,1446,3074,94,2021-03-22
472,594097,526186.42,1769,4059,2,2012-04-06
473,432281,984097.41,2063,3868,18,2019-08-20
474,291093,522603.47,3944,1741,102,2006-11-04
475,192829,991535.71,3268,674,105,2015-11-23
476,204144,538668.3,2853,5498,1,2020-03-14
477,930460,368470.21,409,6249,52,2009-06-07
478,477398,440451.38,4687,3193,106,2008-04-29
479,190390,859693.62,2909,5812,25,2009-01-06
480,244415,748199.56,1094,5278,118,2014-11-05
481,690749,75266.79,374,4372,103,2008-02-05
482,650706,924735.99,175,6006,97,2009-10-16
483,243768,228568.69,2555,3019,25,2009-05-06
484,715631,391746.62,1338,2482,7,2009-10-23
485,447446,694166.79,1465,5610,17,2007-01-08
486,722936,916216.7,5819,3285,60,2004-03-15
487,863012,973677.41,5196,1348,76,2007-01-02
488,611607,875612.45,4234,4706,94,2000-10-25
489,566400,389961.05,1755,5375,37,2013-01-03
490,190567,473372.17,3155,3397,2,2021-06-22
491,302111,615252.95,3513,619,72,2010-06-07
492,19370,259866.66,824,1429,119,2019-12-18
493,687643,192699.86,3505,5102,24,2003-01-26
494,571121,598923.18,34,1994,94,2004-07-05
495,580159,160142.36,12,6064,96,2017-07-06
496,856195,858626.84,1484,6004,95,2006-10-05
497,777234,63161.92,5598,3275,62,2009-10-19
498,627689,715400.07,575,1854,55,2002-12-18
499,790515,475900.1,5535,2612,98,2002-09-15
500,786674,180750.91,5857,593,93,2019-06-06
501,739387,594791.41,5956,4278,42,2013-06-17
502,588363,594975.35,4275,1427,99,2013-04-27
503,691076,990468.02,1487,2268,59,2021-05-26
504,792936,333976.16,6181,2930,6,2000-05-29
505,726342,885927.81,953,3659,112,2008-08-23
506,566423,532358.66,4072,4309,98,2015-12-01
507,196879,216863.27,651,2088,26,2022-01-13
508,611191,152000.08,4660,5268,32,2019-08-27
509,77654,384642.26,2872,6195,77,2018-11-25
510,600412,226397.85,5243,5273,48,2013-07-25
511,797360,379103.75,478,5473,59,2012-05-15
512,682504,720787.21,5260,5323,94,2013-08-31
513,108473,263196.13,3023,4823,27,2003-07-09
514,33802,842423.44,1751,5755,10,2020-08-12
515,443968,375163.78,611,4139,13,2006-10-20
516,292663,943072.46,459,4406,25,2013-03-14
517,361329,93040.4,4136,2888,29,2006-05-16
518,3460,678585.34,750,2739,48,2015-10-12
519,90093,214648.64,5403,264,22,2001-10-09
520,690220,504743.93,1127,5642,17,2019-05-25
521,159394,562428.55,1822,1651,33,2001-09-01
522,268201,571946.75,5369,1108,85,2011-08-20
523,780064,682315.39,5508,1135,86,2004-11-30
524,187275,237279.09,5087,4465,118,2020-05-10
525,872349,406403.81,3574,2068,16,2018-04-16
526,603006,625470.37,5333,4434,93,2018-06-25
527,73807,28371.86,2031,4200,35,2001-01-01
528,499780,916671.47,1364,1937,52,2021-02-18
529,259448,242547.2,923,1331,16,2001-09-25
530,706616,902487.61,4690,3176,66,2017-08-04
531,32539,541973.59,1077,5274,5,2020-07-21
532,794949,370606.06,3105,3506,79,2001-02-08
533,119278,529637.16,4797,2547,27,2006-11-29
534,451122,712776.98,1278,2130,115,2021-07-21
535,497103,236644.94,5366,4161,16,2002-09-12
536,225597,196919.56,4312,1784,12,2003-02-14
537,449659,179881.82,1827,5283,102,2011-09-18
538,165218,351279.39,857,5321,15,2001-06-18
539,312384,838461.03,4765,586,41,2015-06-10
540,242539,946981.72,1901,3772,52,2004-08-27
541,251480,193473.47,1368,4574,55,2021-01-05
542,526683,372211.93,5222,365,107,2011-12-05
543,590240,264152.19,3209,1078,59,2010-03-15
544,604136,402466.3,4938,1674,27,2004-10-09
545,147381,30848.29,6005,4442,36,2019-06-16
546,800021,864653.26,4957,174,86,2006-09-01
547,332801,27890.8,3406,2341,58,2004-09-28
548,702636,525536.19,3236,762,116,2002-06-22
549,834168,180051.81,6140,2412,88,2012-08-27
550,405933,191148.31,2346,5981,82,2005-01-09
551,513237,348851.63,1962,123,33,2010-09-01
552,833077,682831.84,2859,917,34,2018-02-19
553,136238,712010.81,5298,5953,69,2007-02-17
554,699525,638261.42,265,224,46,2006-03-10
555,115883,682921.58,4434,854,18,2021-09-11
556,896734,229118.48,3665,903,96,2005-06-17
557,291531,472402.76,5265,3829,80,2013-06-28
558,83449,879708.87,4,3200,50,2017-04-19
559,886688,173827.03,1438,2127,80,2014-05-24
560,259269,982314.17,4536,1745,33,2013-08-22
561,355936,536680.23,5335,5970,109,2019-05-07
562,26455,386202.68,2510,261,25,2000-03-09
563,989791,985667.31,1875,1208,71,2007-08-27
