id,nome,data_fondazione,quotazioni,sede
17613,"Griffith, Sanders and Mckay",1978-09-02,"[{'azionista': 8151, 'quota': 60}, {'azionista': 6034, 'quota': 40}]",43
17614,Archer-Knox,1999-09-07,"[{'azionista': 8757, 'quota': 78}, {'azionista': 1585, 'quota': 22}]",16
17615,Stone-Morales,1987-02-04,"[{'azionista': 8034, 'quota': 91}, {'azionista': 6018, 'quota': 9}]",57
17616,Lucero-Fuller,1998-01-01,"[{'azionista': 7537, 'quota': 47}, {'azionista': 1142, 'quota': 53}]",93
17617,"Levy, Peck and Davis",1995-05-08,"[{'azionista': 9235, 'quota': 19}, {'azionista': 6026, 'quota': 29}, {'azionista': 6633, 'quota': 11}, {'azionista': 2389, 'quota': 41}]",98
17618,"Robinson, Tyler and Dudley",1976-08-04,"[{'azionista': 2434, 'quota': 48}, {'azionista': 4029, 'quota': 30}, {'azionista': 9617, 'quota': 22}]",18
17619,Bailey LLC,1992-10-11,"[{'azionista': 6485, 'quota': 3}, {'azionista': 7562, 'quota': 89}, {'azionista': 2415, 'quota': 8}]",35
17620,Gentry-Parrish,1960-10-13,"[{'azionista': 9561, 'quota': 6}, {'azionista': 9608, 'quota': 84}, {'azionista': 7854, 'quota': 10}]",39
17621,Ruiz Ltd,1963-05-25,"[{'azionista': 8277, 'quota': 19}, {'azionista': 9992, 'quota': 69}, {'azionista': 6340, 'quota': 12}]",74
17622,Kane-Patel,1981-12-01,"[{'azionista': 6812, 'quota': 85}, {'azionista': 7168, 'quota': 15}]",19
17623,"Robinson, Hutchinson and Arroyo",1985-11-09,"[{'azionista': 7167, 'quota': 80}, {'azionista': 5688, 'quota': 20}]",23
17624,Harrington-Cline,1970-10-02,"[{'azionista': 3402, 'quota': 54}, {'azionista': 6545, 'quota': 46}]",52
17625,Richardson-Barnett,1960-10-05,"[{'azionista': 1788, 'quota': 18}, {'azionista': 5360, 'quota': 14}, {'azionista': 4778, 'quota': 47}, {'azionista': 1083, 'quota': 21}]",18
17626,Mejia Inc,1969-11-25,"[{'azionista': 3505, 'quota': 90}, {'azionista': 7219, 'quota': 10}]",49
17627,Sanchez LLC,1988-05-24,"[{'azionista': 2963, 'quota': 98}, {'azionista': 6583, 'quota': 2}]",85
17628,Lester-Johnson,1972-01-21,"[{'azionista': 9394, 'quota': 6}, {'azionista': 7501, 'quota': 94}]",52
17629,"Morris, Adams and Atkinson",1974-06-30,"[{'azionista': 8325, 'quota': 61}, {'azionista': 7671, 'quota': 39}]",19
17630,Mitchell LLC,1960-04-18,"[{'azionista': 4195, 'quota': 59}, {'azionista': 3204, 'quota': 41}]",99
17631,Santana Ltd,1997-04-13,"[{'azionista': 1278, 'quota': 48}, {'azionista': 7130, 'quota': 52}]",72
17632,Scott Inc,1997-03-01,"[{'azionista': 4248, 'quota': 62}, {'azionista': 9450, 'quota': 38}]",10
17633,Harris Group,1980-07-09,"[{'azionista': 576, 'quota': 3}, {'azionista': 7768, 'quota': 93}, {'azionista': 6325, 'quota': 4}]",0
17634,Ross Inc,1990-07-31,"[{'azionista': 1173, 'quota': 40}, {'azionista': 1872, 'quota': 35}, {'azionista': 976, 'quota': 25}]",26
17635,Allen PLC,1999-07-18,"[{'azionista': 4187, 'quota': 22}, {'azionista': 6937, 'quota': 78}]",37
17636,Owen and Sons,1975-02-27,"[{'azionista': 5910, 'quota': 73}, {'azionista': 9926, 'quota': 27}]",17
17637,"Hawkins, Walker and Smith",1990-07-17,"[{'azionista': 9702, 'quota': 73}, {'azionista': 480, 'quota': 27}]",76
17638,Andrews-Riley,1998-12-30,"[{'azionista': 8758, 'quota': 93}, {'azionista': 4208, 'quota': 7}]",41
17639,Jefferson LLC,1995-06-16,"[{'azionista': 563, 'quota': 97}, {'azionista': 1138, 'quota': 3}]",54
17640,"Evans, Allen and Warren",1964-01-27,"[{'azionista': 981, 'quota': 8}, {'azionista': 7920, 'quota': 52}, {'azionista': 7421, 'quota': 40}]",22
17641,Farmer and Sons,1976-08-16,"[{'azionista': 768, 'quota': 1}, {'azionista': 8558, 'quota': 11}, {'azionista': 1233, 'quota': 88}]",15
17642,Pearson Inc,1993-07-01,"[{'azionista': 8971, 'quota': 4}, {'azionista': 7156, 'quota': 78}, {'azionista': 4708, 'quota': 18}]",74
17643,"Carrillo, Edwards and Figueroa",1967-11-18,"[{'azionista': 9696, 'quota': 3}, {'azionista': 3003, 'quota': 22}, {'azionista': 1597, 'quota': 7}, {'azionista': 4149, 'quota': 68}]",12
17644,Paul PLC,1979-12-02,"[{'azionista': 9607, 'quota': 62}, {'azionista': 1646, 'quota': 38}]",58
17645,"Arnold, Alvarez and Hall",1981-12-09,"[{'azionista': 8675, 'quota': 41}, {'azionista': 2912, 'quota': 47}, {'azionista': 8218, 'quota': 12}]",56
17646,Davis Ltd,1983-07-13,"[{'azionista': 8131, 'quota': 14}, {'azionista': 7021, 'quota': 5}, {'azionista': 8047, 'quota': 81}]",59
17647,Weeks Group,1972-03-10,"[{'azionista': 5072, 'quota': 7}, {'azionista': 1666, 'quota': 25}, {'azionista': 2802, 'quota': 55}, {'azionista': 4734, 'quota': 13}]",63
17648,Daniel LLC,1976-07-26,"[{'azionista': 9672, 'quota': 60}, {'azionista': 2948, 'quota': 40}]",86
17649,"Montoya, Miller and Kelley",1974-02-27,"[{'azionista': 5642, 'quota': 17}, {'azionista': 9345, 'quota': 53}, {'azionista': 9371, 'quota': 30}]",54
17650,"Buchanan, Rodriguez and Porter",1962-03-17,"[{'azionista': 5083, 'quota': 75}, {'azionista': 826, 'quota': 25}]",52
17651,"Martin, Nguyen and Hunt",1993-06-30,"[{'azionista': 3197, 'quota': 56}, {'azionista': 2874, 'quota': 44}]",13
17652,"Johnson, Richardson and Harris",1973-10-18,"[{'azionista': 5806, 'quota': 72}, {'azionista': 2958, 'quota': 14}, {'azionista': 8239, 'quota': 14}]",16
17653,"Holt, Chavez and White",1986-01-23,"[{'azionista': 6465, 'quota': 90}, {'azionista': 2494, 'quota': 10}]",77
17654,Diaz-Mejia,1970-06-02,"[{'azionista': 1760, 'quota': 45}, {'azionista': 9499, 'quota': 55}]",89
17655,"Maxwell, Myers and Oliver",1960-03-10,"[{'azionista': 1337, 'quota': 22}, {'azionista': 5711, 'quota': 33}, {'azionista': 5672, 'quota': 45}]",85
17656,"Wise, Johnson and Munoz",1980-12-30,"[{'azionista': 4660, 'quota': 33}, {'azionista': 6070, 'quota': 23}, {'azionista': 4536, 'quota': 35}, {'azionista': 3210, 'quota': 9}]",4
17657,"Hodges, Marks and Smith",1999-04-23,"[{'azionista': 4919, 'quota': 96}, {'azionista': 5578, 'quota': 4}]",17
17658,"Ellis, Lopez and Solomon",1989-03-01,"[{'azionista': 653, 'quota': 98}, {'azionista': 6064, 'quota': 2}]",91
17659,"Williams, Fitzpatrick and Carrillo",1963-05-10,"[{'azionista': 9124, 'quota': 2}, {'azionista': 9832, 'quota': 92}, {'azionista': 7958, 'quota': 6}]",34
17660,"Evans, Kelly and Bautista",1968-09-17,"[{'azionista': 6469, 'quota': 24}, {'azionista': 4785, 'quota': 64}, {'azionista': 4894, 'quota': 12}]",5
17661,"Mendoza, Conner and Robinson",1970-12-20,"[{'azionista': 5411, 'quota': 49}, {'azionista': 8501, 'quota': 51}]",26
17662,Liu-Crane,1991-04-06,"[{'azionista': 8296, 'quota': 45}, {'azionista': 4350, 'quota': 29}, {'azionista': 4779, 'quota': 26}]",19
17663,Good-Cox,1986-04-28,"[{'azionista': 214, 'quota': 67}, {'azionista': 466, 'quota': 33}]",35
17664,"Boyle, Gutierrez and Sweeney",1990-09-13,"[{'azionista': 2289, 'quota': 44}, {'azionista': 6272, 'quota': 56}]",90
17665,Liu-Wise,1971-08-25,"[{'azionista': 3720, 'quota': 96}, {'azionista': 8030, 'quota': 4}]",1
17666,Cannon Inc,1970-03-30,"[{'azionista': 2368, 'quota': 66}, {'azionista': 5919, 'quota': 34}]",74
17667,Davenport-Thornton,1993-01-16,"[{'azionista': 5195, 'quota': 18}, {'azionista': 2951, 'quota': 36}, {'azionista': 7818, 'quota': 46}]",52
17668,Orr Inc,1961-01-27,"[{'azionista': 5319, 'quota': 63}, {'azionista': 5237, 'quota': 37}]",93
17669,Olsen Ltd,1986-05-08,"[{'azionista': 3098, 'quota': 46}, {'azionista': 2407, 'quota': 1}, {'azionista': 4117, 'quota': 48}, {'azionista': 4141, 'quota': 5}]",88
17670,Clark Inc,1975-12-12,"[{'azionista': 4493, 'quota': 38}, {'azionista': 4919, 'quota': 57}, {'azionista': 9427, 'quota': 5}]",74
17671,Hill-Lopez,1982-01-15,"[{'azionista': 879, 'quota': 46}, {'azionista': 9323, 'quota': 7}, {'azionista': 9041, 'quota': 19}, {'azionista': 4654, 'quota': 28}]",86
17672,"White, Hernandez and Hansen",1979-02-08,"[{'azionista': 5858, 'quota': 90}, {'azionista': 7384, 'quota': 10}]",75
17673,Maddox Ltd,1965-01-19,"[{'azionista': 5528, 'quota': 27}, {'azionista': 2992, 'quota': 53}, {'azionista': 5754, 'quota': 20}]",61
17674,White-Cook,1990-02-10,"[{'azionista': 9337, 'quota': 74}, {'azionista': 7578, 'quota': 16}, {'azionista': 6506, 'quota': 6}, {'azionista': 413, 'quota': 4}]",101
17675,Hopkins-Williams,1988-10-12,"[{'azionista': 7487, 'quota': 41}, {'azionista': 1631, 'quota': 6}, {'azionista': 7960, 'quota': 25}, {'azionista': 9882, 'quota': 5}, {'azionista': 8830, 'quota': 23}]",56
17676,Forbes-Mueller,1995-01-16,"[{'azionista': 620, 'quota': 22}, {'azionista': 941, 'quota': 18}, {'azionista': 8774, 'quota': 60}]",76
17677,Richardson-Small,1998-12-18,"[{'azionista': 1773, 'quota': 28}, {'azionista': 4626, 'quota': 72}]",30
17678,"Jackson, Woods and Gonzalez",1978-07-03,"[{'azionista': 6022, 'quota': 47}, {'azionista': 7535, 'quota': 53}]",28
17679,"Hall, Blair and Buchanan",1995-12-05,"[{'azionista': 7483, 'quota': 5}, {'azionista': 5387, 'quota': 1}, {'azionista': 9854, 'quota': 30}, {'azionista': 5749, 'quota': 13}, {'azionista': 6326, 'quota': 51}]",29
17680,Gutierrez Inc,1981-05-04,"[{'azionista': 1168, 'quota': 25}, {'azionista': 5367, 'quota': 75}]",68
17681,"Gray, Morgan and Cooley",1963-07-18,"[{'azionista': 2631, 'quota': 51}, {'azionista': 1575, 'quota': 49}]",83
