azienda,azionista,quota,ubo
65,12904,17,0,
66,6507,97,0,
66,8102,3,0,
67,10910,43,0,
67,6142,33,0,
67,10654,24,0,
68,5916,89,0,
68,10742,11,0,
69,8893,98,0,
69,6233,2,0,
70,12230,48,0,
70,8912,52,0,
71,10815,18,0,
71,9686,37,0,
71,7300,45,0,
72,12883,26,0,
72,10392,74,0,
73,8047,13,0,
73,6560,75,0,
73,12609,6,0,
73,13017,6,0,
74,12720,69,0,
74,8648,18,0,
74,8879,13,0,
75,11578,95,0,
75,8116,5,0,
76,10541,28,0,
76,11236,31,0,
76,10111,1,0,
76,5961,40,0,
77,11147,48,0,
77,6600,39,0,
77,9212,13,0,
78,6037,22,0,
78,11932,21,0,
78,6014,57,0,
79,6287,26,0,
79,10199,45,0,
79,12602,29,0,
80,7166,36,0,
80,6906,64,0,
81,11428,86,0,
81,12004,14,0,
82,12256,91,0,
82,6357,9,0,
83,7414,27,0,
83,11977,2,0,
83,7992,4,0,
83,5898,56,0,
83,7678,11,0,
84,13118,30,0,
84,11085,70,0,
85,10968,57,0,
85,10952,43,0,
86,9434,62,0,
86,12500,36,0,
86,12074,2,0,
87,8678,60,0,
87,10099,7,0,
87,6980,33,0,
88,8803,55,0,
88,11469,45,0,
89,6605,42,0,
89,9223,58,0,
90,11016,10,0,
90,9503,75,0,
90,6037,15,0,
91,6532,39,0,
91,10095,61,0,
92,12816,54,0,
92,8083,46,0,
93,12829,41,0,
93,7061,46,0,
93,7365,13,0,
94,6468,51,0,
94,7429,49,0,
95,8995,39,0,
95,9234,61,0,
96,13053,47,0,
96,7081,53,0,
97,11909,74,0,
97,11279,26,0,
98,5687,81,0,
98,9637,19,0,
99,7733,41,0,
99,12261,59,0,
100,10942,7,0,
100,10868,56,0,
100,10206,11,0,
100,7528,26,0,
101,8861,91,0,
101,12076,9,0,
102,12528,39,0,
102,7611,61,0,
103,11610,74,0,
103,7649,9,0,
103,6199,17,0,
104,9940,38,0,
104,10026,62,0,
105,10826,69,0,
105,11926,31,0,
106,6434,1,0,
106,7162,61,0,
106,6366,38,0,
107,11052,93,0,
107,10611,7,0,
108,10845,60,0,
108,11895,40,0,
109,10162,56,0,
109,9216,8,0,
109,11773,36,0,
110,7770,80,0,
110,6117,16,0,
110,11492,4,0,
111,8339,75,0,
111,8787,25,0,
112,10840,13,0,
112,10322,69,0,
112,10516,18,0,
113,7156,43,0,
113,11992,21,0,
113,6565,36,0,
114,11575,95,0,
114,7039,5,0,
115,7946,44,0,
115,7040,38,0,
115,9735,18,0,
116,6684,32,0,
116,10343,16,0,
116,7689,27,0,
116,9858,25,0,
117,5974,96,0,
117,6647,4,0,
118,8736,65,0,
118,11924,31,0,
118,8962,4,0,
119,12043,62,0,
119,9665,16,0,
119,12098,22,0,
120,8823,25,0,
120,9151,19,0,
120,5625,56,0,
121,11988,49,0,
121,13085,26,0,
121,9335,25,0,
122,10500,59,0,
122,11410,11,0,
122,12031,27,0,
122,7666,2,0,
122,10856,1,0,
123,13092,20,0,
123,5891,18,0,
123,13114,5,0,
123,10255,36,0,
123,10154,21,0,
124,7138,15,0,
124,11203,85,0,
125,12221,54,0,
125,5815,46,0,
126,9944,45,0,
126,11936,36,0,
126,5699,19,0,
127,6692,62,0,
127,9390,9,0,
127,6728,29,0,
128,5960,90,0,
128,9410,10,0,
129,10233,52,0,
129,7151,4,0,
129,8056,10,0,
129,12367,6,0,
129,8078,28,0,
130,10278,75,0,
130,12311,10,0,
130,6626,15,0,
131,8229,46,0,
131,10018,54,0,
132,9066,24,0,
132,12933,44,0,
132,12958,32,0,
133,9069,75,0,
133,6737,25,0,
134,7724,71,0,
134,12235,27,0,
134,6330,2,0,
135,6406,79,0,
135,12480,21,0,
136,11410,22,0,
136,11993,13,0,
136,10536,64,0,
136,13036,1,0,
137,9435,71,0,
137,9900,29,0,
138,8363,58,0,
138,9678,42,0,
139,12171,63,0,
139,9852,37,0,
140,5666,49,0,
140,7945,51,0,
141,8033,9,0,
141,12742,69,0,
141,7234,22,0,
142,10398,11,0,
142,12638,64,0,
142,10286,25,0,
143,8731,6,0,
143,7397,18,0,
143,5778,76,0,
144,12217,8,0,
144,11544,62,0,
144,12528,30,0,
145,7224,82,0,
145,7752,18,0,
146,9561,36,0,
146,12236,54,0,
146,13022,10,0,
147,11540,18,0,
147,9904,27,0,
147,11202,55,0,
148,10877,86,0,
148,11206,7,0,
148,11125,7,0,
149,10813,1,0,
149,11243,75,0,
149,11344,24,0,
150,9175,39,0,
150,7241,30,0,
150,11025,5,0,
150,8909,26,0,
151,12794,59,0,
151,11650,41,0,
152,8642,17,0,
152,9322,20,0,
152,7854,61,0,
152,12042,2,0,
153,7768,81,0,
153,7842,19,0,
154,11892,48,0,
154,5986,52,0,
155,11485,93,0,
155,11882,7,0,
156,11665,83,0,
156,7519,17,0,
157,12657,45,0,
157,13046,53,0,
157,9342,2,0,
158,10938,59,0,
158,6215,41,0,
159,11892,98,0,
159,8273,1,0,
159,13099,1,0,
160,12709,5,0,
160,11657,20,0,
160,9774,45,0,
160,12779,23,0,
160,9776,7,0,
161,7873,33,0,
161,10876,67,0,
162,9342,2,0,
162,7857,32,0,
162,12559,55,0,
162,12147,11,0,
163,11539,47,0,
163,8995,53,0,
164,10069,1,0,
164,8741,27,0,
164,10310,40,0,
164,7685,8,0,
164,6753,24,0,
165,10239,64,0,
165,8804,36,0,
166,5893,31,0,
166,8816,18,0,
166,8878,51,0,
167,6781,69,0,
167,9931,31,0,
168,6457,87,0,
168,10774,13,0,
169,10125,32,0,
169,6894,68,0,
170,11086,92,0,
170,9040,8,0,
171,7893,7,0,
171,11081,43,0,
171,10667,42,0,
171,8565,8,0,
172,11290,43,0,
172,8474,57,0,
173,7677,42,0,
173,9067,58,0,
174,11313,66,0,
174,12184,3,0,
174,6701,31,0,
175,12553,11,0,
175,8262,80,0,
175,12838,9,0,
176,11697,56,0,
176,6034,13,0,
176,7213,31,0,
177,6026,70,0,
177,10131,30,0,
178,7649,71,0,
178,9673,29,0,
179,9570,17,0,
179,10460,29,0,
179,5670,54,0,
180,12717,53,0,
180,9127,13,0,
180,5964,34,0,
181,10869,98,0,
181,8054,2,0,
182,10838,93,0,
182,11516,7,0,
183,8081,78,0,
183,8646,17,0,
183,12804,5,0,
184,10741,82,0,
184,7627,18,0,
185,10110,54,0,
185,8882,46,0,
186,6009,17,0,
186,12929,40,0,
186,10601,19,0,
186,9788,10,0,
186,9833,14,0,
187,6712,6,0,
187,9242,85,0,
187,7561,9,0,
188,6067,32,0,
188,7842,68,0,
189,8566,83,0,
189,11582,1,0,
189,12100,16,0,
190,6342,58,0,
190,5781,42,0,
191,8404,28,0,
191,10548,72,0,
192,9652,98,0,
192,9744,2,0,
193,6489,90,0,
193,12755,10,0,
194,6751,70,0,
194,11620,30,0,
195,6183,47,0,
195,10833,53,0,
196,11198,71,0,
196,8877,29,0,
197,8045,73,0,
197,10145,27,0,
198,7811,90,0,
198,6342,10,0,
199,6447,61,0,
199,12247,36,0,
199,11899,3,0,
200,7930,27,0,
200,6955,63,0,
200,7901,10,0,
201,6483,28,0,
201,8427,7,0,
201,9890,11,0,
201,11139,54,0,
202,9997,42,0,
202,6200,32,0,
202,7218,19,0,
202,6178,7,0,
203,9938,38,0,
203,12872,28,0,
203,6614,34,0,
204,11767,14,0,
204,11902,83,0,
204,7817,3,0,
205,9822,80,0,
205,7842,20,0,
206,7752,56,0,
206,11357,7,0,
206,8311,18,0,
206,11416,13,0,
206,6565,1,0,
206,12851,5,0,
207,7978,37,0,
207,9993,11,0,
207,7202,52,0,
208,10293,68,0,
208,8851,32,0,
209,11091,84,0,
209,11995,16,0,
210,6074,37,0,
210,11695,26,0,
210,7157,7,0,
210,12490,30,0,
211,12966,83,0,
211,12969,17,0,
212,5982,24,0,
212,12485,36,0,
212,12016,40,0,
213,10846,64,0,
213,11846,36,0,
214,8968,56,0,
214,11731,44,0,
215,5717,21,0,
215,8623,70,0,
215,7148,9,0,
216,8449,87,0,
216,10372,13,0,
217,8464,29,0,
217,13058,53,0,
217,10596,18,0,
218,8809,14,0,
218,8687,74,0,
218,10664,12,0,
219,6641,32,0,
219,11796,68,0,
220,6614,16,0,
220,12532,62,0,
220,10854,22,0,
221,11150,24,0,
221,12872,44,0,
221,6424,32,0,
222,13079,53,0,
222,11685,47,0,
223,10056,64,0,
223,8025,13,0,
223,12623,23,0,
224,6735,36,0,
224,12130,51,0,
224,9549,13,0,
225,11760,10,0,
225,7172,13,0,
225,9749,42,0,
225,6117,35,0,
226,12367,44,0,
226,12782,43,0,
226,12767,13,0,
227,7465,56,0,
227,7668,5,0,
227,12127,39,0,
228,7957,46,0,
228,10153,54,0,
229,8510,85,0,
229,9620,15,0,
230,7919,4,0,
230,6662,85,0,
230,12512,11,0,
231,8698,54,0,
231,8578,46,0,
232,8138,85,0,
232,11160,15,0,
233,6958,87,0,
233,9439,13,0,
234,8200,4,0,
234,7303,22,0,
234,11510,12,0,
234,7817,8,0,
234,8184,49,0,
234,9902,3,0,
234,7135,2,0,
235,6023,30,0,
235,7896,70,0,
236,8604,48,0,
236,5689,52,0,
237,6811,98,0,
237,12565,2,0,
238,12397,12,0,
238,12647,4,0,
238,10393,24,0,
238,13068,60,0,
239,9157,88,0,
239,12128,12,0,
240,5681,41,0,
240,11894,59,0,
241,8990,7,0,
241,7163,93,0,
242,10404,88,0,
242,6508,12,0,
243,7249,29,0,
243,9048,47,0,
243,10641,24,0,
244,7535,91,0,
244,12584,9,0,
245,8088,86,0,
245,11508,14,0,
246,9718,91,0,
246,12400,9,0,
247,6858,89,0,
247,12427,11,0,
248,6424,67,0,
248,6216,33,0,
249,6296,39,0,
249,7049,8,0,
249,7156,4,0,
249,11240,49,0,
250,11515,34,0,
250,7564,33,0,
250,11401,33,0,
251,10411,57,0,
251,12667,2,0,
251,10362,41,0,
252,8217,36,0,
252,6576,16,0,
252,8955,40,0,
252,9630,8,0,
253,8443,37,0,
253,5709,15,0,
253,12410,48,0,
254,9895,30,0,
254,9751,44,0,
254,8841,26,0,
255,12279,25,0,
255,6251,53,0,
255,9119,4,0,
255,8261,18,0,
256,6320,59,0,
256,10932,6,0,
256,9129,5,0,
256,6341,23,0,
256,11706,7,0,
257,7131,18,0,
257,11227,29,0,
257,8088,53,0,
258,9951,10,0,
258,9401,10,0,
258,8550,10,0,
258,9756,70,0,
259,7480,18,0,
259,9523,75,0,
259,6217,7,0,
260,6245,5,0,
260,12650,7,0,
260,6816,54,0,
260,13051,25,0,
260,11920,9,0,
261,6787,55,0,
261,9034,8,0,
261,12472,16,0,
261,9000,21,0,
262,9017,39,0,
262,8281,39,0,
262,12886,11,0,
262,6351,11,0,
263,7146,71,0,
263,5915,29,0,
264,8183,40,0,
264,9459,60,0,
265,11207,72,0,
265,6337,28,0,
266,10299,4,0,
266,11320,66,0,
266,7955,30,0,
267,12779,50,0,
267,7939,50,0,
268,12572,68,0,
268,12636,32,0,
269,12321,42,0,
269,11604,58,0,
270,12682,52,0,
270,11682,44,0,
270,13062,4,0,
271,7639,70,0,
271,7160,30,0,
272,6794,3,0,
272,8137,23,0,
272,9586,74,0,
273,8485,50,0,
273,7028,3,0,
273,12248,46,0,
273,13050,1,0,
274,7262,33,0,
274,8048,32,0,
274,9905,5,0,
274,10928,17,0,
274,10106,13,0,
275,12988,93,0,
275,10844,7,0,
276,8086,11,0,
276,9990,11,0,
276,6750,18,0,
276,12196,60,0,
277,7055,55,0,
277,5978,42,0,
277,11413,3,0,
278,8967,18,0,
278,7412,42,0,
278,9266,40,0,
279,10118,32,0,
279,11250,61,0,
279,11374,7,0,
280,7675,18,0,
280,10872,82,0,
281,5836,34,0,
281,9640,29,0,
281,11237,14,0,
281,7913,20,0,
281,8102,3,0,
282,9008,84,0,
282,6052,16,0,
283,7393,8,0,
283,7646,53,0,
283,11841,10,0,
283,10853,29,0,
284,11729,96,0,
284,7569,4,0,
285,8726,63,0,
285,9182,1,0,
285,9801,36,0,
286,7301,8,0,
286,6814,26,0,
286,9019,53,0,
286,10009,13,0,
287,5950,29,0,
287,6215,71,0,
288,7126,59,0,
288,12310,41,0,
289,12870,62,0,
289,11803,38,0,
290,6686,65,0,
290,7969,35,0,
291,6010,52,0,
291,10055,48,0,
292,10948,92,0,
292,6110,8,0,
293,9057,36,0,
293,10041,64,0,
294,7278,6,0,
294,9815,81,0,
294,10701,13,0,
295,11560,49,0,
295,12619,51,0,
296,8021,18,0,
296,5713,69,0,
296,11183,13,0,
297,6284,45,0,
297,5974,32,0,
297,10128,4,0,
297,8579,19,0,
298,6702,38,0,
298,12837,18,0,
298,9195,44,0,
299,8067,41,0,
299,6223,1,0,
299,12599,32,0,
299,5836,4,0,
299,11708,22,0,
300,12385,44,0,
300,7621,29,0,
300,11246,27,0,
301,6008,20,0,
301,12505,32,0,
301,12811,19,0,
301,9368,29,0,
302,10157,19,0,
302,11705,9,0,
302,9629,33,0,
302,12053,39,0,
303,6956,87,0,
303,5951,13,0,
304,10199,20,0,
304,11107,63,0,
304,8066,17,0,
305,11027,54,0,
305,11539,46,0,
306,6790,74,0,
306,13071,26,0,
307,11737,32,0,
307,6249,68,0,
308,11963,45,0,
308,9518,55,0,
309,12100,50,0,
309,10514,41,0,
309,8210,9,0,
310,11077,69,0,
310,9468,31,0,
311,11875,61,0,
311,12659,7,0,
311,7291,32,0,
312,8879,87,0,
312,6749,13,0,
313,11353,8,0,
313,7823,31,0,
313,6926,61,0,
314,11641,61,0,
314,8125,39,0,
315,11482,8,0,
315,5672,14,0,
315,5752,42,0,
315,10154,36,0,
316,6621,45,0,
316,10198,5,0,
316,8745,50,0,
317,8237,58,0,
317,7648,42,0,
318,10590,40,0,
318,11937,41,0,
318,6372,14,0,
318,5996,5,0,
319,12232,19,0,
319,6281,71,0,
319,7444,10,0,
320,5959,87,0,
320,10402,13,0,
321,10488,94,0,
321,11923,6,0,
322,6040,99,0,
322,6492,1,0,
323,9398,66,0,
323,7722,34,0,
324,10654,44,0,
324,7245,56,0,
325,7577,62,0,
325,6754,38,0,
326,5995,2,0,
326,11310,92,0,
326,11329,6,0,
327,9499,25,0,
327,6957,30,0,
327,10774,35,0,
327,9036,10,0,
328,11836,43,0,
328,11757,57,0,
329,9509,65,0,
329,8415,35,0,
330,8581,30,0,
330,5706,70,0,
331,10373,61,0,
331,12835,39,0,
332,10111,52,0,
332,8927,48,0,
333,7335,50,0,
333,9618,50,0,
334,8260,67,0,
334,12171,33,0,
335,6987,95,0,
335,6689,5,0,
336,6185,6,0,
336,7476,76,0,
336,6145,18,0,
337,7728,99,0,
337,5931,1,0,
338,7971,54,0,
338,11065,34,0,
338,9066,12,0,
339,9663,68,0,
339,12263,32,0,
340,12319,86,0,
340,12018,14,0,
341,11153,100,0,
342,8862,5,0,
342,11792,7,0,
342,8335,37,0,
342,9038,8,0,
342,7207,16,0,
342,11905,27,0,
343,8905,65,0,
343,9378,35,0,
344,7253,98,0,
344,9356,2,0,
345,10284,90,0,
345,11883,10,0,
346,7791,11,0,
346,12686,67,0,
346,5921,22,0,
347,9072,25,0,
347,9310,32,0,
347,9900,26,0,
347,10050,17,0,
348,5656,4,0,
348,5743,5,0,
348,7410,14,0,
348,9260,15,0,
348,13068,52,0,
348,9663,10,0,
349,7218,70,0,
349,6745,30,0,
350,9363,11,0,
350,10951,71,0,
350,6792,18,0,
351,6838,3,0,
351,11440,22,0,
351,12375,15,0,
351,11130,60,0,
352,6645,46,0,
352,9347,42,0,
352,13064,12,0,
353,9871,91,0,
353,7588,9,0,
354,5905,47,0,
354,5751,53,0,
355,11084,23,0,
355,10691,59,0,
355,11580,18,0,
356,9384,46,0,
356,11882,54,0,
357,10248,46,0,
357,5643,3,0,
357,6921,51,0,
358,7377,14,0,
358,8933,66,0,
358,12579,20,0,
359,12542,49,0,
359,7587,51,0,
360,7564,60,0,
360,5859,12,0,
360,5885,28,0,
361,11610,71,0,
361,10279,29,0,
362,10446,76,0,
362,10755,24,0,
363,7075,30,0,
363,7156,69,0,
363,11195,1,0,
364,7946,68,0,
364,7623,19,0,
364,12074,13,0,
365,10937,47,0,
365,11343,45,0,
365,10463,8,0,
366,7712,91,0,
366,12609,9,0,
367,7307,46,0,
367,7375,48,0,
367,7154,6,0,
368,10081,68,0,
368,10255,32,0,
369,6361,2,0,
369,10422,36,0,
369,9307,29,0,
369,8001,33,0,
370,6792,73,0,
370,10905,11,0,
370,9210,3,0,
370,6517,13,0,
371,12309,75,0,
371,5995,25,0,
372,12376,26,0,
372,9270,74,0,
373,10754,42,0,
373,6289,58,0,
374,9338,32,0,
374,6732,50,0,
374,10819,18,0,
375,11762,93,0,
375,6333,7,0,
376,9249,2,0,
376,7598,62,0,
376,9206,36,0,
377,7129,28,0,
377,7703,31,0,
377,5830,39,0,
377,12378,2,0,
378,8604,26,0,
378,7333,47,0,
378,8737,27,0,
379,11979,87,0,
379,11958,13,0,
380,9636,46,0,
380,12882,15,0,
380,11118,10,0,
380,9747,12,0,
380,6883,17,0,
381,8331,17,0,
381,8562,38,0,
381,11487,42,0,
381,8829,3,0,
382,12197,92,0,
382,12449,8,0,
383,11311,61,0,
383,8854,39,0,
384,8537,50,0,
384,12908,16,0,
384,12861,34,0,
385,9517,68,0,
385,10104,32,0,
386,8603,6,0,
386,11427,80,0,
386,12044,14,0,
387,11013,66,0,
387,6601,34,0,
388,12167,10,0,
388,5935,34,0,
388,10146,38,0,
388,7042,18,0,
389,10369,12,0,
389,13061,16,0,
389,7048,16,0,
389,5972,52,0,
389,11645,4,0,
390,8717,5,0,
390,11412,91,0,
390,9330,4,0,
391,11625,62,0,
391,12687,38,0,
392,9409,76,0,
392,7280,2,0,
392,12758,22,0,
393,9724,12,0,
393,9779,35,0,
393,7106,28,0,
393,7557,25,0,
394,10098,47,0,
394,11281,36,0,
394,9932,17,0,
395,6802,17,0,
395,12158,81,0,
395,7216,2,0,
396,11579,70,0,
396,11685,30,0,
397,5814,100,0,
398,13097,34,0,
398,10507,66,0,
399,8710,63,0,
399,6525,9,0,
399,10703,12,0,
399,10525,16,0,
400,10690,57,0,
400,7080,43,0,
401,6526,26,0,
401,8241,67,0,
401,5973,7,0,
402,12190,53,0,
402,5653,2,0,
402,9098,45,0,
403,6601,77,0,
403,10103,16,0,
403,11068,7,0,
404,6711,5,0,
404,9990,71,0,
404,8561,24,0,
405,7660,8,0,
405,6756,19,0,
405,8547,1,0,
405,7087,44,0,
405,9343,7,0,
405,7519,21,0,
406,7601,82,0,
406,8356,18,0,
407,12041,40,0,
407,8320,60,0,
408,10733,65,0,
408,8535,35,0,
409,6196,90,0,
409,12851,10,0,
410,11279,74,0,
410,12145,26,0,
411,9997,37,0,
411,10385,2,0,
411,11285,61,0,
412,6171,10,0,
412,11952,23,0,
412,7757,48,0,
412,11514,19,0,
413,10659,47,0,
413,12718,53,0,
414,5658,79,0,
414,5816,21,0,
415,10705,36,0,
415,9825,64,0,
416,9490,46,0,
416,8531,54,0,
417,12523,20,0,
417,9850,41,0,
417,12538,39,0,
418,10406,52,0,
418,9987,48,0,
419,5950,66,0,
419,8260,34,0,
420,12295,92,0,
420,10293,8,0,
421,5924,82,0,
421,8726,18,0,
422,12715,65,0,
422,9948,35,0,
423,8231,58,0,
423,9447,18,0,
423,9421,14,0,
423,9941,10,0,
424,9799,39,0,
424,6731,61,0,
425,6259,93,0,
425,11254,7,0,
426,9418,4,0,
426,11394,91,0,
426,11014,5,0,
427,7498,81,0,
427,9357,19,0,
428,8548,48,0,
428,9450,47,0,
428,11301,5,0,
429,5984,62,0,
429,10634,1,0,
429,10969,37,0,
430,6857,12,0,
430,12507,42,0,
430,6885,46,0,
431,10741,3,0,
431,11359,97,0,
432,8727,49,0,
432,9440,51,0,
433,9246,55,0,
433,5962,45,0,
434,9127,26,0,
434,11602,74,0,
435,8994,7,0,
435,12376,93,0,
436,6353,42,0,
436,7249,20,0,
436,7755,38,0,
437,10989,28,0,
437,12900,56,0,
437,12130,16,0,
438,13029,9,0,
438,11659,10,0,
438,9517,3,0,
438,13095,78,0,
439,12925,94,0,
439,11493,6,0,
440,9500,77,0,
440,10279,23,0,
441,6700,41,0,
441,11091,41,0,
441,8663,18,0,
442,10309,68,0,
442,10292,32,0,
443,7130,37,0,
443,11278,63,0,
444,11890,33,0,
444,6540,5,0,
444,10908,30,0,
444,6962,32,0,
445,11921,84,0,
445,12428,16,0,
446,10339,87,0,
446,9417,13,0,
447,10218,38,0,
447,10737,62,0,
448,7797,3,0,
448,9838,26,0,
448,11831,47,0,
448,6251,24,0,
449,6367,52,0,
449,8076,48,0,
450,12466,37,0,
450,9616,52,0,
450,11297,11,0,
451,8315,54,0,
451,6219,46,0,
452,12520,34,0,
452,6872,56,0,
452,10511,10,0,
453,7900,36,0,
453,12835,64,0,
454,10736,22,0,
454,8445,17,0,
454,10375,44,0,
454,9752,17,0,
455,11755,43,0,
455,9091,57,0,
456,13095,82,0,
456,6028,16,0,
456,12095,2,0,
457,5747,94,0,
457,9821,6,0,
458,8637,95,0,
458,12972,5,0,
459,11930,86,0,
459,11381,2,0,
459,10943,11,0,
459,6675,1,0,
460,13086,16,0,
460,11000,2,0,
460,10010,82,0,
461,11101,44,0,
461,12948,56,0,
462,7850,26,0,
462,7889,7,0,
462,11056,7,0,
462,12597,60,0,
463,11479,64,0,
463,6095,23,0,
463,10007,13,0,
464,8516,22,0,
464,7167,66,0,
464,7913,12,0,
465,9830,16,0,
465,12120,41,0,
465,11307,1,0,
465,8451,42,0,
466,8125,32,0,
466,13097,39,0,
466,8851,29,0,
467,9732,98,0,
467,11859,2,0,
468,7467,2,0,
468,5919,98,0,
469,7611,77,0,
469,12850,4,0,
469,9977,3,0,
469,8564,16,0,
470,7715,42,0,
470,11322,58,0,
471,11244,71,0,
471,8110,14,0,
471,9746,15,0,
472,10572,48,0,
472,9954,52,0,
473,9873,55,0,
473,11640,5,0,
473,11836,40,0,
474,8364,34,0,
474,12236,57,0,
474,8272,1,0,
474,10037,8,0,
475,12925,37,0,
475,11513,63,0,
476,7451,25,0,
476,12035,7,0,
476,11899,21,0,
476,11233,47,0,
477,7792,32,0,
477,8210,68,0,
478,6593,90,0,
478,12578,10,0,
479,8142,31,0,
479,12237,69,0,
480,10909,82,0,
480,9743,18,0,
481,12734,52,0,
481,8628,48,0,
482,11002,60,0,
482,6512,28,0,
482,11260,12,0,
483,6609,7,0,
483,11155,55,0,
483,12315,38,0,
484,8505,36,0,
484,6901,25,0,
484,6751,5,0,
484,11133,1,0,
484,6543,33,0,
485,10103,94,0,
485,6868,6,0,
486,9075,68,0,
486,11209,28,0,
486,11269,4,0,
487,6538,4,0,
487,11007,13,0,
487,6302,83,0,
488,12820,6,0,
488,11572,77,0,
488,11322,17,0,
489,7737,99,0,
489,12949,1,0,
490,9260,11,0,
490,11423,6,0,
490,12283,54,0,
490,10040,29,0,
491,8530,60,0,
491,9595,11,0,
491,8633,29,0,
492,10252,89,0,
492,5697,11,0,
493,7491,39,0,
493,11870,35,0,
493,7455,26,0,
494,10173,84,0,
494,12609,16,0,
495,10738,70,0,
495,5849,30,0,
496,10048,85,0,
496,9614,15,0,
497,12053,56,0,
497,10221,10,0,
497,12867,21,0,
497,10770,6,0,
497,9679,2,0,
497,6924,5,0,
498,5814,78,0,
498,9415,22,0,
499,12730,44,0,
499,12156,27,0,
499,11524,29,0,
500,7952,15,0,
500,8742,1,0,
500,9692,21,0,
500,10248,36,0,
500,12756,27,0,
501,6585,56,0,
501,7515,44,0,
502,10273,52,0,
502,9293,11,0,
502,5835,32,0,
502,12049,5,0,
503,8403,86,0,
503,11227,14,0,
504,12841,36,0,
504,7594,52,0,
504,6873,12,0,
505,10308,64,0,
505,10639,36,0,
506,12462,64,0,
506,10980,4,0,
506,11508,32,0,
507,6576,93,0,
507,12890,7,0,
508,8564,11,0,
508,10798,28,0,
508,9728,61,0,
509,11682,87,0,
509,11657,13,0,
510,7142,43,0,
510,11462,20,0,
510,8614,37,0,
511,6960,57,0,
511,12810,43,0,
512,6786,11,0,
512,6749,42,0,
512,10922,13,0,
512,10669,23,0,
512,12293,11,0,
513,6670,92,0,
