id,codice_transazione,importo,emittente,beneficiario,banca,data
101,245957,236493.27,340,21179,5,2012-04-21
102,654405,432305.93,649,9194,74,2012-04-01
103,558849,724266.0,3197,12699,36,2013-12-10
104,34750,992643.69,24187,17038,48,2015-11-14
105,605698,403457.05,4939,20116,63,2014-04-11
106,870293,406610.6,10222,18475,69,2006-12-08
107,314167,54815.57,24827,9294,45,2021-04-15
108,581414,395351.89,46,7189,23,2022-03-07
109,458787,132617.04,23670,15257,54,2021-09-04
110,315123,100816.77,6088,18433,32,2000-10-15
111,113963,271159.69,6738,20669,1,2010-08-10
112,478556,759062.95,6999,5024,40,2005-12-02
113,279591,578523.69,20801,6113,93,2020-01-04
114,696334,529205.71,8545,17602,107,2008-07-17
115,737541,397659.84,24038,24075,24,2014-09-02
116,317222,922039.04,14845,18244,63,2001-10-07
117,147118,958538.7,2961,21346,119,2020-10-15
118,366185,466219.41,9387,9790,4,2002-09-21
119,30667,974629.51,3987,6990,62,2015-06-21
120,971046,823764.86,12098,17671,62,2017-10-26
121,459872,723295.91,7183,11328,52,2010-04-27
122,239656,29438.38,14092,3485,13,2001-05-31
123,873615,922266.59,21517,21690,71,2019-08-28
124,855213,645517.67,24194,16892,84,2021-07-28
125,867335,288081.19,19969,11225,27,2006-09-05
126,675884,615000.52,21838,15504,115,2006-01-21
127,137484,499738.52,22505,24490,48,2000-10-20
128,287819,925706.31,20648,7575,55,2009-06-23
129,913201,235842.16,17558,15733,10,2004-11-01
130,975888,294272.8,18175,11629,111,2017-03-10
131,937730,108209.32,21038,15195,13,2002-10-21
132,395353,68898.11,24146,22279,74,2016-05-04
133,532046,648730.81,19961,5595,92,2001-10-28
134,118448,713350.84,11603,18505,16,2011-05-18
135,785169,385745.21,9973,20489,96,2003-07-26
136,481826,216590.38,601,7187,75,2018-03-10
137,927035,193325.67,16126,5519,82,2001-04-14
138,311456,371356.05,16484,20274,29,2003-10-01
139,213032,523260.32,18856,4585,30,2019-10-18
140,208684,928082.04,7271,21849,29,2005-08-29
141,818896,466823.03,2648,8715,88,2014-02-17
142,505491,171037.07,7940,305,68,2001-11-22
143,260244,598440.01,10075,14213,102,2009-06-05
144,354533,901429.28,19175,12484,74,2001-11-11
145,946334,886355.51,16551,11137,44,2005-10-08
146,941679,896382.9,19502,12508,60,2016-10-04
147,255503,686401.08,9545,12784,99,2001-01-22
148,128086,775996.6,6047,21289,108,2019-09-07
149,991303,656573.71,13705,6455,76,2006-07-22
150,360002,424553.93,10650,6732,111,2015-11-01
151,464029,323869.27,12194,11267,66,2009-08-12
152,813667,195971.41,20020,8318,94,2006-08-05
153,555242,468982.41,933,16536,85,2012-02-04
154,329776,968341.94,21005,14711,62,2010-08-17
155,687658,551236.06,18993,18872,74,2013-09-11
156,286501,52067.0,4607,18401,32,2000-03-26
157,377138,59292.97,17431,5289,77,2002-02-05
158,553117,645787.62,3445,19123,44,2019-05-15
159,557348,431845.19,2325,19863,105,2013-12-14
160,33531,833703.13,5018,3358,69,2001-08-21
161,4136,383962.36,15661,10922,16,2001-10-29
162,385520,845875.88,9637,3479,10,2020-02-05
163,769198,111328.65,11701,16407,18,2011-10-27
164,414431,158034.01,23616,23372,59,2013-08-07
165,811398,51541.23,160,16351,61,2004-08-20
166,235522,104748.98,12294,19183,18,2000-06-02
167,882609,505140.94,15337,543,14,2000-02-01
168,762779,603821.41,7329,17961,113,2012-08-20
169,420663,504759.55,9900,11158,69,2020-07-07
170,766859,191141.37,11084,17785,101,2018-12-04
171,557389,493258.23,21619,19738,63,2001-09-20
172,918515,400902.99,8536,7055,61,2004-09-13
173,423295,705033.31,15901,3288,27,2018-07-23
174,485283,147395.97,3010,19805,119,2021-01-30
175,766148,886269.48,4736,19452,81,2020-07-29
176,55638,359535.86,8126,1142,86,2015-12-01
177,272833,795918.61,2619,4950,110,2014-12-29
178,63803,705585.51,10465,5125,23,2008-03-29
179,488691,983268.15,19377,19814,7,2009-06-16
180,312907,337020.56,3763,20205,10,2014-02-15
181,742236,221796.18,22428,3085,101,2004-01-17
182,625261,359175.43,3642,21650,97,2005-09-06
183,550491,33031.73,3265,17746,113,2015-12-29
184,803532,268366.6,21996,1644,95,2007-11-03
185,229331,992619.44,16361,12671,109,2020-11-01
186,609877,533893.14,21689,15702,101,2004-09-18
187,365817,687467.03,3202,7462,93,2011-11-26
188,1878,750913.95,8154,2789,55,2019-04-12
189,192419,160562.12,126,3896,35,2015-05-19
190,201810,216381.42,3977,23117,18,2006-07-13
191,55065,112033.48,1903,8909,9,2016-09-22
192,576069,215613.62,3742,9692,0,2009-09-08
193,593928,722205.94,11583,23025,90,2010-02-09
194,584010,288355.68,13649,23600,106,2009-01-23
195,63610,338182.11,13035,11252,56,2020-10-01
196,511289,924659.35,12248,21518,92,2016-07-29
197,346171,308679.67,5304,21886,65,2008-01-02
198,673144,390890.01,20416,846,22,2018-02-08
199,557292,892440.52,14675,2765,29,2013-08-12
200,799930,182614.57,21809,7285,16,2018-11-07
201,992605,776287.79,22150,21950,73,2000-09-21
202,698734,20858.93,10214,212,10,2006-11-10
203,641291,126808.04,4353,21201,2,2016-12-19
204,630401,984050.86,14843,14167,33,2017-12-09
205,619751,914542.17,8670,3125,49,2001-06-09
206,279772,443267.08,17681,11345,41,2017-04-16
207,357682,329160.06,21633,18001,5,2006-09-15
208,950116,18417.21,11351,15395,101,2021-04-01
209,242036,605251.45,18677,18289,96,2004-06-04
210,581156,561730.69,8922,17565,82,2007-10-27
211,732573,104093.75,16705,7687,62,2019-12-29
212,856610,249746.83,553,8029,63,2003-08-29
213,371842,926714.83,20599,11423,48,2020-01-04
214,200086,366407.6,13367,7436,110,2013-09-28
215,25317,420974.53,15088,12152,3,2003-07-09
216,62769,123146.81,18872,17926,97,2012-10-08
217,56298,732534.02,16654,18162,56,2015-03-06
218,675174,148161.74,19022,19738,37,2008-03-31
219,940127,731951.93,10826,24622,118,2017-05-04
220,334533,233206.49,8414,11914,81,2019-04-17
221,595196,11165.71,18829,6769,6,2014-09-01
222,348489,688421.34,24408,11538,99,2005-08-07
223,436277,826385.87,4994,13753,90,2006-12-22
224,809254,510288.85,853,21498,33,2021-02-26
225,724818,549849.41,86,10406,56,2010-08-26
226,103141,85858.89,18615,8856,92,2003-08-21
227,178438,275319.23,22333,14729,100,2008-03-21
228,406190,204637.69,10342,1658,45,2016-10-06
229,858123,454571.21,305,10932,38,2014-12-20
230,731711,701927.92,12635,17733,92,2021-07-11
231,401806,871529.22,11482,877,97,2020-04-23
232,579133,461427.27,10943,22762,96,2006-08-01
233,49623,140899.9,13674,9531,87,2009-09-13
234,699523,181428.9,7545,16733,80,2006-11-01
235,437409,174690.24,9295,18783,7,2015-07-10
236,242050,796219.97,8644,10930,62,2019-11-25
237,714286,672801.08,4769,22394,95,2000-06-29
238,879946,884192.61,19670,19816,89,2011-04-01
239,71636,87900.97,22157,17480,117,2005-05-03
240,115483,366914.54,23790,2428,62,2002-07-13
241,106048,503797.71,24036,4555,17,2016-06-26
242,977952,264425.73,15124,12087,57,2007-08-08
243,518544,446700.29,16754,18639,98,2015-09-24
244,552391,205262.17,7629,1921,104,2020-09-11
245,454198,366826.85,18939,8346,84,2013-06-28
246,693540,383397.67,24287,407,39,2009-10-05
247,627328,938500.11,5138,13262,9,2018-06-10
248,437479,881038.47,20703,18251,95,2015-08-22
249,709425,146326.71,4411,12014,12,2012-01-20
250,674789,513457.68,11459,23877,73,2015-09-16
251,115442,89351.88,24393,8354,40,2006-04-12
252,912517,30504.27,9746,19780,50,2000-01-01
253,502828,662330.57,774,3432,3,2016-06-19
254,612951,682784.99,24900,15444,65,2004-05-12
255,93495,170687.47,10212,16564,104,2015-02-10
256,575145,219826.63,5856,340,0,2020-02-06
257,17753,449767.21,10415,12937,17,2019-07-12
258,63937,846747.73,10005,5978,39,2012-02-03
259,223744,801701.41,1230,23653,102,2014-11-04
260,137181,392940.87,12603,7791,16,2006-04-21
261,340164,88546.97,11116,19095,25,2015-02-02
262,827597,956076.04,23337,12931,60,2014-03-13
263,94558,921581.33,22831,1064,46,2016-05-12
264,128345,545079.07,23837,1614,3,2014-09-29
265,629516,21515.29,4110,16847,2,2012-01-04
266,51374,413724.32,4376,15975,13,2016-05-29
267,220231,47361.82,5356,9126,41,2006-12-19
268,782029,140809.88,157,23587,52,2017-04-14
269,948334,560398.74,16991,5947,34,2019-09-12
270,620720,777695.03,22712,5080,80,2009-04-21
271,238074,573345.71,4702,12270,77,2004-09-28
272,882931,896328.1,22685,7778,12,2019-06-17
273,771166,162638.44,14319,15467,17,2009-11-13
274,283751,647644.15,14178,19584,101,2020-06-01
275,784398,631250.32,23840,18038,11,2017-09-15
276,416745,620659.5,24599,2981,111,2017-09-23
277,642180,321361.64,5005,7840,93,2016-02-19
278,915338,138076.1,7479,1149,20,2005-03-17
279,821296,277314.2,8168,472,29,2014-12-09
280,45231,534200.96,7507,2428,59,2009-05-08
281,296771,461771.0,19615,22790,62,2000-05-31
282,594587,887500.07,5726,22556,81,2015-12-30
283,243840,152389.15,23564,21300,30,2017-12-28
284,237786,244104.25,4033,12236,102,2007-09-15
285,353799,404090.59,12205,24039,52,2010-04-06
286,166546,835309.22,1422,7082,17,2001-12-05
287,229988,607570.23,21274,16176,49,2006-01-22
288,310659,275568.37,9243,19884,63,2001-03-03
289,503166,666011.51,22558,21144,12,2006-03-30
290,183347,656445.13,8630,24305,68,2002-09-20
291,338800,544871.17,23027,16021,56,2011-05-31
292,443061,237727.18,3633,12744,106,2018-01-13
293,596182,406368.96,3102,15781,83,2018-06-21
294,711055,794230.6,4101,16948,103,2008-03-11
295,132400,603885.09,21032,4694,30,2021-12-03
296,698827,953963.5,8605,17952,82,2007-10-16
297,557939,957975.94,19314,14565,92,2008-04-03
298,52428,229427.16,19555,1692,7,2013-04-03
299,253003,750986.57,24327,18903,80,2001-04-29
300,96209,813708.25,6492,5772,58,2020-04-22
301,504185,589308.42,1390,8853,73,2007-06-04
302,540985,594067.58,2612,2927,113,2005-05-24
303,314442,520465.24,22898,11759,48,2002-12-03
304,891298,580915.6,18403,16809,45,2016-11-18
305,687168,405171.44,16407,6092,114,2008-02-23
306,390360,650987.72,6970,16695,1,2010-09-10
307,858808,639805.39,15586,14638,117,2014-05-06
308,80889,388774.03,14906,19759,14,2003-03-16
309,842493,754587.65,669,13051,69,2013-07-07
310,627492,735366.76,3664,11425,12,2011-04-25
311,779154,852897.22,18620,18720,50,2022-05-23
312,634062,435981.76,20009,2085,43,2011-09-14
313,822099,117817.75,6586,18443,105,2005-01-08
314,761458,757128.54,16972,5820,77,2001-04-14
315,407863,288598.81,13611,23657,95,2012-03-21
316,109143,964498.1,9760,8674,17,2014-12-06
317,499421,536425.28,24121,19460,69,2002-02-12
318,554854,749159.59,4362,1864,64,2014-10-01
319,935912,758348.27,22923,3750,95,2010-02-04
320,922229,419673.0,19620,17397,83,2015-07-06
321,309023,339839.24,1001,11127,63,2012-10-13
322,431468,265427.94,1572,15981,84,2018-02-07
323,66511,431713.38,8151,19378,114,2003-09-10
324,85377,696912.3,3244,7793,74,2003-07-22
325,486681,993954.12,8704,660,106,2013-06-15
326,859394,399803.96,12070,12007,89,2015-02-04
327,263623,11633.58,24097,18326,21,2003-01-21
328,430026,141816.66,1596,14567,111,2019-04-23
329,755300,153395.74,7894,20342,53,2006-03-10
330,52492,464886.25,721,15973,58,2020-06-20
331,580613,552591.84,24725,12988,48,2009-03-23
332,987000,72061.41,3090,19684,7,2022-02-14
333,196639,587375.65,12800,22253,68,2017-11-24
334,851451,960942.59,7601,22487,4,2013-10-21
335,244867,398668.68,16059,14271,52,2006-10-27
336,222669,265584.29,14614,11839,2,2018-02-06
337,378589,765373.04,19563,4539,106,2008-09-07
338,960185,934685.41,19056,5373,14,2007-03-12
339,319887,435747.72,17575,3688,25,2002-08-04
340,624309,235140.71,11640,13694,89,2004-12-11
341,216061,775628.83,9778,19977,22,2021-02-05
342,39028,38370.11,8246,4411,26,2017-05-30
343,124253,799530.1,1437,3527,15,2007-09-12
344,39226,190026.06,6764,10090,100,2005-05-30
345,537542,176029.78,15998,13565,23,2020-08-05
346,860131,443436.5,11968,24798,56,2002-07-16
347,463433,548668.71,8428,14271,112,2004-04-12
348,477614,159703.32,7411,11142,116,2017-03-18
349,172712,944330.8,7444,5117,118,2017-01-28
350,579285,26352.7,3651,18966,69,2009-04-01
351,271275,99360.29,23018,8177,62,2021-03-05
352,215419,34380.49,525,4209,57,2013-09-11
353,113912,662237.95,4476,20299,49,2010-12-29
354,309482,472727.92,1009,22031,97,2006-11-19
355,259284,738902.34,707,13432,69,2000-05-11
356,658585,891165.28,995,17766,92,2010-07-24
357,645160,825735.15,22762,8663,46,2018-03-09
358,606558,817481.41,15861,3913,58,2002-09-10
359,653717,925292.9,20774,7934,2,2001-12-19
360,553396,462850.22,9149,17225,106,2000-08-09
361,163263,471965.45,2187,8536,37,2010-07-06
362,922561,206860.25,14611,18883,55,2001-05-10
363,783803,938718.79,16139,4238,16,2020-03-30
364,752796,724372.12,11270,14226,61,2006-10-08
365,427080,129808.25,7258,15349,117,2006-01-22
366,802969,172909.82,9220,11664,61,2003-05-01
367,795581,548687.67,2500,20339,1,2007-04-17
368,883387,661728.35,36,15084,115,2011-04-20
369,681392,839344.99,22129,8073,104,2004-07-23
370,837295,343151.77,18304,5577,78,2009-11-15
371,234263,62455.18,20990,3178,119,2003-11-25
372,463066,754149.34,24759,10312,66,2001-07-13
373,725841,648037.04,15873,4143,63,2019-08-29
374,164498,971248.49,5784,19829,17,2020-11-26
375,624978,69958.12,21750,16688,99,2007-12-31
376,685628,969849.83,23420,16434,109,2006-09-29
377,98877,618283.58,20414,21734,57,2003-01-07
378,8086,526537.64,19301,2407,38,2004-10-12
379,695454,53271.29,10418,21930,60,2021-01-28
380,814258,770985.75,3659,14115,22,2013-05-13
381,437020,148217.09,13554,1188,112,2004-12-11
382,317175,860396.86,16218,10373,27,2003-08-18
383,808865,56459.53,16245,17250,13,2000-02-05
384,357696,763201.87,22588,1399,55,2004-06-24
385,11830,476227.83,13189,267,93,2003-03-22
386,623397,240245.13,19614,3836,8,2008-10-15
387,824592,41061.75,1537,24990,96,2019-03-30
388,324757,202760.22,14629,15114,2,2003-07-07
389,512914,169703.58,14575,18844,49,2005-04-24
390,964811,644580.75,18563,10351,41,2002-10-23
391,372270,827501.55,3615,21330,103,2014-02-02
392,196982,954599.24,2835,11587,2,2000-10-24
393,930320,837412.37,24700,9013,99,2003-07-13
394,227068,55873.85,3572,5184,10,2006-07-10
395,364407,96549.17,1195,18954,42,2003-02-27
396,357291,844072.44,18834,4728,110,2005-06-18
397,559457,707216.64,14898,7994,53,2008-07-12
398,270607,885291.56,15860,3582,46,2000-02-18
399,791702,489633.66,20285,19448,90,2019-01-27
400,640655,568667.44,5711,23911,36,2010-10-19
401,589147,38139.48,15860,24583,7,2002-06-27
402,140001,47263.8,5896,15008,42,2011-02-11
403,710552,5588.94,23055,3248,111,2009-01-04
404,378268,293927.81,12061,22231,72,2006-05-20
405,274708,947703.89,10687,16979,1,2022-04-28
406,342660,266959.87,6692,14911,94,2016-01-18
407,589039,29111.67,7206,4060,83,2015-05-02
408,189798,909269.98,3653,16758,50,2005-05-24
409,489089,626263.84,15293,10489,109,2019-08-26
410,670772,940316.07,11650,22903,88,2019-04-16
411,436230,294503.27,23819,19302,56,2020-03-31
412,964629,824333.77,19589,10932,16,2016-12-24
413,335360,631387.15,13882,18511,37,2005-12-30
414,800574,108796.2,839,22691,85,2007-01-18
415,651229,985558.54,13496,10563,28,2011-11-30
416,554191,720806.27,16356,4377,1,2015-10-03
417,284408,723047.83,21825,22349,34,2009-02-08
418,881006,513890.27,14959,21207,115,2017-03-22
419,979538,168356.92,1328,23134,50,2015-03-28
420,410297,152953.93,3835,13280,2,2016-12-17
421,280720,687549.58,17021,10120,55,2018-08-03
422,951948,664345.52,6399,20244,49,2005-02-18
423,11836,257950.09,19630,8159,21,2001-10-24
424,573079,130920.75,15999,9133,75,2001-06-06
425,228047,70789.14,20200,18691,43,2020-02-08
426,768905,218536.91,3255,20069,26,2021-01-25
427,523178,382169.38,16678,13757,85,2010-07-06
428,70365,215053.02,526,15992,60,2007-03-29
429,116501,667498.43,16036,3096,96,2018-11-03
430,161877,758409.66,17349,11488,20,2009-10-13
431,958095,960327.8,20173,12268,101,2018-11-03
432,351931,622053.44,23240,15262,93,2001-04-13
433,738983,33785.12,23584,388,108,2007-09-12
434,642712,613032.42,22075,22584,78,2020-07-14
435,34081,129427.84,6143,10447,22,2008-07-04
436,963446,633272.56,11961,649,5,2016-04-17
437,64851,431563.89,376,9223,103,2002-04-08
438,618696,477667.09,9179,7749,33,2008-11-11
439,167769,625133.59,14980,12250,85,2017-07-17
440,972993,427048.07,4532,9664,28,2017-03-27
441,411806,828584.72,7986,12659,102,2012-12-14
442,974244,924405.5,4500,13726,36,2001-12-21
443,341703,69707.41,17840,14851,36,2022-04-26
444,332330,61548.13,7874,18760,39,2020-12-09
445,847061,153117.81,6864,5168,43,2001-10-16
446,234858,492477.56,21434,6799,16,2019-04-29
447,711370,892981.39,4073,20143,48,2006-10-05
448,776515,935424.21,14271,21115,16,2000-04-03
449,892694,567458.76,16749,8646,2,2009-07-04
450,257751,523680.02,13107,17301,62,2008-08-16
451,616448,861042.58,16762,23442,28,2019-10-16
452,643486,650982.14,6043,11654,41,2006-06-19
453,951022,736699.85,21401,8733,19,2008-07-18
454,256439,259705.98,16796,18036,80,2008-06-04
455,154117,754415.04,9235,9444,60,2001-12-07
456,355380,51972.88,14925,4662,70,2013-01-22
457,941193,499572.0,17471,21328,32,2009-03-27
458,413147,711913.24,1727,11262,46,2001-12-26
459,502747,408713.62,3145,20982,53,2007-05-09
460,737075,657111.53,7156,820,47,2004-03-30
461,601940,827454.68,13544,18117,12,2008-06-03
462,953209,165566.75,10168,16713,11,2011-08-21
463,368023,456730.44,7210,15144,31,2011-08-30
464,768636,946279.63,4814,24287,119,2002-12-04
465,882763,46847.74,6362,7997,37,2019-07-19
466,728347,306130.66,13050,7505,39,2005-02-17
467,952364,878464.23,15968,8967,99,2001-08-17
468,975984,293504.38,14124,6481,82,2013-03-07
469,337984,540999.9,17904,2655,3,2010-01-29
470,441719,776829.05,8187,7534,0,2018-10-24
471,990391,80484.4,14061,17304,32,2008-01-06
472,167423,902855.11,9389,24443,35,2012-05-13
473,538596,290055.96,23609,21672,10,2010-08-02
474,581012,448848.59,9216,14356,33,2017-09-19
475,124830,670081.06,23788,6065,65,2011-08-03
476,704560,103827.0,4976,13005,10,2020-11-27
477,78399,30319.43,20755,21264,48,2015-01-25
478,75020,596465.83,24394,23429,36,2020-06-15
479,986591,980540.24,9660,8577,75,2015-01-24
480,8585,622300.47,22519,6912,113,2014-03-27
481,728092,301237.42,6713,12798,58,2013-01-02
482,120441,368214.08,15720,17,56,2020-07-02
483,114860,915544.01,11261,2254,71,2004-01-17
484,962312,77468.91,792,6262,10,2011-01-27
485,747293,403904.94,1498,6055,31,2018-07-21
486,357299,580421.52,9101,22092,25,2018-04-03
487,517909,52684.58,16710,967,59,2020-11-24
488,720776,405651.71,6792,17075,21,2020-11-10
489,992075,990148.63,9057,3643,71,2001-08-26
490,156149,361436.28,12779,22489,37,2004-12-17
491,218753,538002.51,15023,6042,23,2002-12-31
492,676867,210624.17,21182,3867,10,2019-04-30
493,287361,824956.7,24174,22337,30,2020-01-23
494,408854,267921.28,4153,10093,57,2004-08-20
495,822042,621969.97,16885,7015,13,2005-11-19
496,247689,852507.45,9730,10392,104,2018-10-19
497,789983,724270.04,7073,5907,41,2008-11-01
498,894889,433050.18,15344,4501,30,2010-06-18
499,56639,406964.62,12363,21087,37,2011-12-24
500,213175,579436.8,13530,16052,82,2007-12-17
501,790563,697631.15,3893,18650,51,2006-01-06
502,726655,136312.84,23470,16784,5,2004-03-08
503,830946,12614.53,10199,1060,13,2005-02-16
504,284467,257793.96,18840,20579,21,2003-09-30
505,875965,448618.95,17091,10977,37,2016-07-29
506,537430,594986.64,13651,22562,87,2005-08-02
507,782335,340691.77,6766,5500,72,2006-05-26
508,210017,722967.95,12029,20387,107,2014-05-23
509,615484,66452.4,17578,11643,65,2010-07-13
510,422938,418539.25,24995,18560,8,2021-08-24
511,319420,775902.27,14232,5641,78,2013-09-05
512,510110,802819.26,72,2415,16,2002-06-04
513,451855,985582.63,1176,4476,48,2009-03-16
514,682681,5754.26,4686,20955,115,2008-11-24
515,701553,326364.29,13722,4020,11,2017-01-13
516,784730,212405.06,13635,5389,99,2015-03-07
517,725578,471326.98,17662,19376,23,2003-12-17
518,566446,300962.26,16280,12366,28,2015-08-18
519,759126,263543.88,15901,17786,24,2018-07-16
520,627847,111080.87,24637,24544,62,2015-12-13
521,551290,496611.26,22790,2848,7,2006-12-13
522,946085,3029.91,21803,5053,30,2009-11-30
523,869518,244488.13,8732,10945,77,2013-09-20
524,689012,633209.8,10647,11411,102,2015-11-02
525,54220,794490.93,4461,2743,77,2007-10-09
526,210607,654889.49,14835,6582,42,2011-03-02
527,987734,234801.51,24240,21298,23,2015-12-09
528,890443,485954.2,3745,23361,67,2006-10-15
529,309977,668992.02,18626,5725,93,2003-04-18
530,95192,651353.6,18017,4909,66,2019-07-16
531,281423,108808.42,11123,17131,111,2014-01-27
532,711377,507260.58,3831,82,14,2020-02-29
533,166210,176124.91,13566,20436,87,2019-01-30
534,473248,623867.74,22012,17189,39,2001-10-19
535,246450,160816.12,16929,24361,58,2005-01-29
536,982859,724636.86,7389,20596,17,2002-03-21
537,842692,114026.86,16041,24787,111,2019-04-14
538,855068,183840.01,22512,16176,37,2022-04-14
539,902565,424781.8,14104,12171,72,2017-10-10
540,707585,810324.19,19215,15652,83,2008-04-27
541,949219,808766.27,2249,15658,103,2015-03-14
542,122775,498832.74,16511,17973,81,2003-04-10
543,466364,218631.55,21116,5208,49,2008-02-02
544,669007,966086.97,15715,21695,118,2001-10-24
545,693065,699527.86,10729,17938,80,2001-05-17
546,863417,73604.3,24775,3765,5,2010-07-20
547,920136,938254.66,16756,8676,105,2018-04-07
548,296555,462114.88,17369,9534,37,2007-09-14
549,633466,818663.82,13472,20389,44,2008-03-02
550,958724,84769.23,18229,3934,73,2016-08-03
551,895870,187812.6,2124,13828,37,2000-10-08
552,935054,981058.53,16241,2294,118,2017-02-28
553,836542,512309.26,15862,18837,32,2002-04-19
554,472045,872424.32,11464,23925,59,2001-11-06
555,559688,456984.99,19771,9731,86,2018-02-12
556,156553,29685.48,23794,16789,34,2010-06-23
557,275518,786827.27,24645,19574,111,2002-01-01
558,181278,71797.88,21942,8650,51,2009-04-24
