id,nome,data_fondazione,quotazioni,sede
13,"Beck, Schneider and Osborne",1967-03-07,"[{'azionista': 6037, 'quota': 69}, {'azionista': 8690, 'quota': 31}]",42
14,Martin-Brooks,1978-10-12,"[{'azionista': 8668, 'quota': 4}, {'azionista': 4482, 'quota': 73}, {'azionista': 5388, 'quota': 23}]",21
15,"Powell, Hamilton and Simmons",1960-09-29,"[{'azionista': 3923, 'quota': 34}, {'azionista': 4688, 'quota': 9}, {'azionista': 6691, 'quota': 15}, {'azionista': 8446, 'quota': 42}]",99
16,Perez Inc,1982-11-14,"[{'azionista': 7602, 'quota': 61}, {'azionista': 4144, 'quota': 25}, {'azionista': 5721, 'quota': 14}]",74
17,"Reed, Lee and Sanders",1991-02-23,"[{'azionista': 7972, 'quota': 79}, {'azionista': 6275, 'quota': 21}]",51
18,Lewis-Russell,1974-08-23,"[{'azionista': 4643, 'quota': 82}, {'azionista': 7973, 'quota': 18}]",91
19,Miller Inc,1961-11-29,"[{'azionista': 6605, 'quota': 87}, {'azionista': 6221, 'quota': 5}, {'azionista': 8514, 'quota': 5}, {'azionista': 5359, 'quota': 3}]",72
20,Skinner Inc,1997-09-29,"[{'azionista': 7797, 'quota': 31}, {'azionista': 4281, 'quota': 69}]",48
21,Hamilton LLC,1995-11-02,"[{'azionista': 4129, 'quota': 57}, {'azionista': 7165, 'quota': 43}]",62
22,Lee-Keith,1993-06-01,"[{'azionista': 4734, 'quota': 93}, {'azionista': 6140, 'quota': 1}, {'azionista': 4363, 'quota': 6}]",77
23,Rodriguez-Frazier,1994-03-18,"[{'azionista': 8510, 'quota': 7}, {'azionista': 6321, 'quota': 72}, {'azionista': 6992, 'quota': 17}, {'azionista': 6445, 'quota': 3}, {'azionista': 5389, 'quota': 1}]",18
24,"Hudson, Todd and Bolton",1979-04-07,"[{'azionista': 7676, 'quota': 72}, {'azionista': 5008, 'quota': 7}, {'azionista': 4024, 'quota': 21}]",37
25,"Harvey, Wright and Wilson",1985-03-27,"[{'azionista': 4207, 'quota': 66}, {'azionista': 4726, 'quota': 34}]",61
26,"Williams, Shepard and Baker",1965-02-26,"[{'azionista': 7640, 'quota': 11}, {'azionista': 4134, 'quota': 77}, {'azionista': 4518, 'quota': 12}]",87
27,"Harmon, Alexander and Weber",1988-04-29,"[{'azionista': 3842, 'quota': 9}, {'azionista': 3843, 'quota': 91}]",34
28,"Bishop, Allen and Livingston",1998-07-30,"[{'azionista': 3896, 'quota': 6}, {'azionista': 6050, 'quota': 21}, {'azionista': 8574, 'quota': 56}, {'azionista': 5299, 'quota': 17}]",54
29,"Jacobs, Chan and Nielsen",1970-09-28,"[{'azionista': 7494, 'quota': 59}, {'azionista': 6109, 'quota': 41}]",51
30,Sanchez-Lamb,1977-04-03,"[{'azionista': 6762, 'quota': 3}, {'azionista': 8028, 'quota': 82}, {'azionista': 6612, 'quota': 15}]",34
31,Gallagher Group,1982-01-13,"[{'azionista': 8178, 'quota': 57}, {'azionista': 7013, 'quota': 13}, {'azionista': 5474, 'quota': 20}, {'azionista': 7778, 'quota': 9}, {'azionista': 7564, 'quota': 1}]",45
32,Jackson Ltd,1992-08-07,"[{'azionista': 4099, 'quota': 4}, {'azionista': 4026, 'quota': 51}, {'azionista': 6012, 'quota': 45}]",86
33,"Burns, Chapman and Murillo",1993-08-02,"[{'azionista': 7044, 'quota': 25}, {'azionista': 5712, 'quota': 8}, {'azionista': 6675, 'quota': 23}, {'azionista': 7779, 'quota': 44}]",6
34,Allen-Clark,1999-10-03,"[{'azionista': 7175, 'quota': 75}, {'azionista': 8306, 'quota': 11}, {'azionista': 6815, 'quota': 14}]",58
35,Rangel-Bauer,1971-03-16,"[{'azionista': 3823, 'quota': 82}, {'azionista': 8095, 'quota': 18}]",39
36,Bailey-West,1998-09-08,"[{'azionista': 8236, 'quota': 23}, {'azionista': 7702, 'quota': 13}, {'azionista': 5240, 'quota': 64}]",100
37,"Ball, Stevens and Wood",1969-02-24,"[{'azionista': 4992, 'quota': 34}, {'azionista': 3995, 'quota': 11}, {'azionista': 5552, 'quota': 55}]",11
38,Rodriguez Ltd,1978-06-24,"[{'azionista': 6911, 'quota': 80}, {'azionista': 6467, 'quota': 20}]",26
39,Osborn PLC,1970-10-25,"[{'azionista': 5183, 'quota': 81}, {'azionista': 6279, 'quota': 19}]",27
40,Anderson and Sons,1965-03-10,"[{'azionista': 7447, 'quota': 95}, {'azionista': 6550, 'quota': 5}]",76
41,Long Inc,1961-03-18,"[{'azionista': 5428, 'quota': 30}, {'azionista': 4279, 'quota': 70}]",78
42,Douglas PLC,1989-02-14,"[{'azionista': 4034, 'quota': 37}, {'azionista': 6801, 'quota': 16}, {'azionista': 7151, 'quota': 1}, {'azionista': 7295, 'quota': 46}]",1
43,Hicks and Sons,1979-05-30,"[{'azionista': 5384, 'quota': 92}, {'azionista': 6625, 'quota': 8}]",93
44,Clark Inc,1974-07-09,"[{'azionista': 7765, 'quota': 32}, {'azionista': 6411, 'quota': 64}, {'azionista': 5742, 'quota': 4}]",53
45,"Brewer, Vincent and Ashley",1960-06-13,"[{'azionista': 3943, 'quota': 27}, {'azionista': 4515, 'quota': 43}, {'azionista': 7294, 'quota': 30}]",44
46,"Gonzalez, Mullen and Frey",1966-05-02,"[{'azionista': 6438, 'quota': 79}, {'azionista': 7783, 'quota': 21}]",88
47,Larson Group,1968-11-29,"[{'azionista': 6055, 'quota': 99}, {'azionista': 8373, 'quota': 1}]",10
48,Brown and Sons,1977-07-29,"[{'azionista': 7555, 'quota': 9}, {'azionista': 7433, 'quota': 80}, {'azionista': 8540, 'quota': 11}]",86
49,Lopez Inc,1961-11-03,"[{'azionista': 7931, 'quota': 99}, {'azionista': 7008, 'quota': 1}]",71
50,"James, Hawkins and Wilkinson",1996-09-04,"[{'azionista': 4283, 'quota': 4}, {'azionista': 4073, 'quota': 61}, {'azionista': 4538, 'quota': 35}]",17
51,Mitchell-Ortiz,1998-11-14,"[{'azionista': 5414, 'quota': 82}, {'azionista': 7784, 'quota': 18}]",23
52,Randolph Ltd,1970-12-21,"[{'azionista': 4441, 'quota': 39}, {'azionista': 3845, 'quota': 61}]",30
53,"Odonnell, Nixon and Brown",1993-06-06,"[{'azionista': 5794, 'quota': 86}, {'azionista': 6802, 'quota': 14}]",51
54,Mann-Miller,1998-03-03,"[{'azionista': 5974, 'quota': 4}, {'azionista': 8716, 'quota': 48}, {'azionista': 5298, 'quota': 41}, {'azionista': 5749, 'quota': 7}]",97
55,Flores-Jackson,1976-10-21,"[{'azionista': 4169, 'quota': 38}, {'azionista': 6051, 'quota': 46}, {'azionista': 5692, 'quota': 16}]",100
56,Long-Matthews,1968-08-03,"[{'azionista': 5752, 'quota': 2}, {'azionista': 5386, 'quota': 17}, {'azionista': 5063, 'quota': 81}]",41
57,Williams-Christian,1980-04-06,"[{'azionista': 4336, 'quota': 3}, {'azionista': 6066, 'quota': 89}, {'azionista': 7044, 'quota': 8}]",6
58,Gomez Group,1990-06-29,"[{'azionista': 7894, 'quota': 15}, {'azionista': 6201, 'quota': 12}, {'azionista': 7809, 'quota': 59}, {'azionista': 8741, 'quota': 14}]",68
59,Rodriguez Ltd,1965-10-28,"[{'azionista': 4322, 'quota': 3}, {'azionista': 5335, 'quota': 34}, {'azionista': 8484, 'quota': 63}]",85
60,Ray-Ortiz,1963-11-06,"[{'azionista': 7556, 'quota': 66}, {'azionista': 5875, 'quota': 34}]",21
61,Torres-Alvarado,1980-11-29,"[{'azionista': 5597, 'quota': 61}, {'azionista': 8213, 'quota': 39}]",73
62,"Tanner, Anderson and Cooke",1984-08-09,"[{'azionista': 7122, 'quota': 15}, {'azionista': 4988, 'quota': 85}]",84
63,Dodson and Sons,1965-01-11,"[{'azionista': 5111, 'quota': 5}, {'azionista': 5430, 'quota': 79}, {'azionista': 8518, 'quota': 16}]",83
64,Mitchell Group,1999-10-10,"[{'azionista': 4831, 'quota': 1}, {'azionista': 5740, 'quota': 61}, {'azionista': 6649, 'quota': 38}]",10
65,Lopez and Sons,1991-03-21,"[{'azionista': 6543, 'quota': 84}, {'azionista': 3758, 'quota': 16}]",33
66,Hunt-Barker,1999-02-16,"[{'azionista': 7209, 'quota': 23}, {'azionista': 5216, 'quota': 19}, {'azionista': 6417, 'quota': 27}, {'azionista': 6830, 'quota': 2}, {'azionista': 5544, 'quota': 20}, {'azionista': 7159, 'quota': 9}]",13
67,Castillo LLC,1970-05-10,"[{'azionista': 7083, 'quota': 36}, {'azionista': 5403, 'quota': 16}, {'azionista': 4752, 'quota': 48}]",44
68,Yang-Bright,1988-12-21,"[{'azionista': 6408, 'quota': 53}, {'azionista': 8608, 'quota': 47}]",2
69,Carroll-Farmer,1969-07-17,"[{'azionista': 7694, 'quota': 60}, {'azionista': 7749, 'quota': 40}]",39
70,"Nelson, Sims and Marshall",1982-09-17,"[{'azionista': 8666, 'quota': 45}, {'azionista': 4691, 'quota': 55}]",100
71,"Brown, Morales and Kline",1964-06-04,"[{'azionista': 4914, 'quota': 26}, {'azionista': 4866, 'quota': 48}, {'azionista': 8382, 'quota': 6}, {'azionista': 7363, 'quota': 20}]",7
72,Ryan-Mann,1989-03-05,"[{'azionista': 4066, 'quota': 65}, {'azionista': 8086, 'quota': 35}]",12
73,Robinson Ltd,1979-08-24,"[{'azionista': 5976, 'quota': 86}, {'azionista': 8384, 'quota': 14}]",88
74,Golden Ltd,1978-11-26,"[{'azionista': 8052, 'quota': 53}, {'azionista': 3845, 'quota': 12}, {'azionista': 7590, 'quota': 13}, {'azionista': 7324, 'quota': 22}]",57
75,Hale LLC,1996-09-14,"[{'azionista': 8493, 'quota': 74}, {'azionista': 8298, 'quota': 8}, {'azionista': 4482, 'quota': 18}]",60
76,Daugherty Inc,1960-12-12,"[{'azionista': 7576, 'quota': 89}, {'azionista': 6987, 'quota': 11}]",46
77,"Williams, Figueroa and Harris",1992-02-14,"[{'azionista': 6896, 'quota': 64}, {'azionista': 7563, 'quota': 36}]",25
78,"Lowe, Clements and Murray",1985-07-24,"[{'azionista': 5233, 'quota': 1}, {'azionista': 7525, 'quota': 72}, {'azionista': 8077, 'quota': 27}]",97
79,"Marshall, Anderson and Manning",1975-12-06,"[{'azionista': 8402, 'quota': 50}, {'azionista': 7069, 'quota': 15}, {'azionista': 3749, 'quota': 35}]",94
80,Burgess PLC,1972-10-16,"[{'azionista': 5189, 'quota': 47}, {'azionista': 4767, 'quota': 10}, {'azionista': 5681, 'quota': 43}]",64
81,Porter and Sons,1975-08-02,"[{'azionista': 7113, 'quota': 79}, {'azionista': 4131, 'quota': 21}]",32
82,Cochran PLC,1968-07-24,"[{'azionista': 6393, 'quota': 4}, {'azionista': 4915, 'quota': 21}, {'azionista': 7395, 'quota': 47}, {'azionista': 6076, 'quota': 18}, {'azionista': 5930, 'quota': 10}]",8
83,Becker Inc,1993-07-28,"[{'azionista': 7224, 'quota': 97}, {'azionista': 8041, 'quota': 3}]",57
84,Sanchez Inc,1983-09-03,"[{'azionista': 3752, 'quota': 13}, {'azionista': 5328, 'quota': 46}, {'azionista': 8602, 'quota': 41}]",5
85,"Boyer, Mills and Martinez",1988-01-25,"[{'azionista': 5462, 'quota': 14}, {'azionista': 6026, 'quota': 44}, {'azionista': 4480, 'quota': 42}]",77
86,Carroll-Martinez,1984-10-17,"[{'azionista': 7460, 'quota': 18}, {'azionista': 6928, 'quota': 56}, {'azionista': 4008, 'quota': 19}, {'azionista': 4665, 'quota': 7}]",60
87,Chen-Clark,1965-04-14,"[{'azionista': 6400, 'quota': 81}, {'azionista': 4248, 'quota': 19}]",15
88,Robinson-Cunningham,1987-05-21,"[{'azionista': 5109, 'quota': 23}, {'azionista': 8292, 'quota': 77}]",80
89,Robinson-Craig,1996-06-30,"[{'azionista': 8169, 'quota': 44}, {'azionista': 5284, 'quota': 50}, {'azionista': 5373, 'quota': 6}]",15
90,Norris-Anderson,1975-02-02,"[{'azionista': 6648, 'quota': 48}, {'azionista': 7935, 'quota': 51}, {'azionista': 7981, 'quota': 1}]",59
91,Wilson Group,1963-09-02,"[{'azionista': 5995, 'quota': 44}, {'azionista': 7215, 'quota': 56}]",23
92,Schmidt and Sons,1972-12-19,"[{'azionista': 6412, 'quota': 100}]",61
93,Olsen Ltd,1989-07-17,"[{'azionista': 5087, 'quota': 12}, {'azionista': 8540, 'quota': 22}, {'azionista': 6853, 'quota': 66}]",45
94,Watson Group,1970-08-08,"[{'azionista': 7666, 'quota': 44}, {'azionista': 7115, 'quota': 56}]",99
95,Byrd and Sons,1962-04-27,"[{'azionista': 7977, 'quota': 41}, {'azionista': 6619, 'quota': 59}]",56
96,"Barton, Hernandez and Gonzalez",1971-08-15,"[{'azionista': 7334, 'quota': 41}, {'azionista': 5172, 'quota': 29}, {'azionista': 5816, 'quota': 30}]",82
97,Parker Group,1967-11-05,"[{'azionista': 5660, 'quota': 59}, {'azionista': 6539, 'quota': 41}]",68
98,Hughes Ltd,1972-07-24,"[{'azionista': 7155, 'quota': 10}, {'azionista': 4306, 'quota': 37}, {'azionista': 7521, 'quota': 13}, {'azionista': 4609, 'quota': 1}, {'azionista': 7246, 'quota': 35}, {'azionista': 5367, 'quota': 4}]",64
99,Gould PLC,1978-08-09,"[{'azionista': 4936, 'quota': 7}, {'azionista': 8647, 'quota': 60}, {'azionista': 5274, 'quota': 33}]",17
100,Hughes and Sons,1960-12-20,"[{'azionista': 4359, 'quota': 74}, {'azionista': 5748, 'quota': 8}, {'azionista': 7524, 'quota': 18}]",76
101,"Davidson, James and White",1962-11-17,"[{'azionista': 6867, 'quota': 100}]",73
102,Turner-Jordan,1971-02-11,"[{'azionista': 5413, 'quota': 14}, {'azionista': 6418, 'quota': 3}, {'azionista': 6843, 'quota': 83}]",23
103,Kaufman LLC,1990-12-28,"[{'azionista': 8667, 'quota': 2}, {'azionista': 6731, 'quota': 14}, {'azionista': 8711, 'quota': 11}, {'azionista': 7990, 'quota': 71}, {'azionista': 7583, 'quota': 2}]",89
104,Serrano Ltd,1975-12-13,"[{'azionista': 7891, 'quota': 15}, {'azionista': 8660, 'quota': 37}, {'azionista': 6167, 'quota': 39}, {'azionista': 6955, 'quota': 9}]",32
105,Wright LLC,1971-04-04,"[{'azionista': 5185, 'quota': 61}, {'azionista': 5536, 'quota': 39}]",98
106,"Sutton, Gilbert and Smith",1987-10-14,"[{'azionista': 7276, 'quota': 60}, {'azionista': 3813, 'quota': 40}]",56
107,"Mathis, Garcia and Dixon",1967-12-01,"[{'azionista': 8684, 'quota': 22}, {'azionista': 6804, 'quota': 23}, {'azionista': 7505, 'quota': 1}, {'azionista': 6681, 'quota': 54}]",42
108,"Esparza, Mayer and Howard",1998-06-29,"[{'azionista': 4372, 'quota': 18}, {'azionista': 6844, 'quota': 43}, {'azionista': 5928, 'quota': 39}]",2
109,Peters Group,1997-10-18,"[{'azionista': 6525, 'quota': 29}, {'azionista': 8558, 'quota': 55}, {'azionista': 4847, 'quota': 16}]",24
110,Jones-Hardy,1969-06-20,"[{'azionista': 8366, 'quota': 59}, {'azionista': 6456, 'quota': 41}]",41
111,Taylor PLC,1972-02-09,"[{'azionista': 3844, 'quota': 88}, {'azionista': 5644, 'quota': 12}]",5
112,Beasley-Gibson,1976-08-26,"[{'azionista': 4990, 'quota': 48}, {'azionista': 7796, 'quota': 44}, {'azionista': 5675, 'quota': 8}]",9
113,"Gordon, Rodriguez and Chapman",1978-04-13,"[{'azionista': 6636, 'quota': 60}, {'azionista': 7954, 'quota': 40}]",51
114,Shannon PLC,1997-02-06,"[{'azionista': 6877, 'quota': 94}, {'azionista': 5765, 'quota': 6}]",25
115,Cook-Beltran,1971-05-31,"[{'azionista': 5069, 'quota': 71}, {'azionista': 8628, 'quota': 29}]",88
116,Smith-Campbell,1996-12-04,"[{'azionista': 6003, 'quota': 7}, {'azionista': 5174, 'quota': 11}, {'azionista': 6951, 'quota': 82}]",44
117,"Cochran, Davies and Bullock",1979-01-07,"[{'azionista': 8264, 'quota': 16}, {'azionista': 6785, 'quota': 71}, {'azionista': 4521, 'quota': 13}]",90
118,Wilson-Foster,1988-04-14,"[{'azionista': 8450, 'quota': 62}, {'azionista': 6083, 'quota': 38}]",73
119,Stevens-Jones,1966-07-07,"[{'azionista': 5797, 'quota': 9}, {'azionista': 4199, 'quota': 32}, {'azionista': 6850, 'quota': 59}]",61
120,Smith-Diaz,1972-10-20,"[{'azionista': 8006, 'quota': 3}, {'azionista': 4979, 'quota': 41}, {'azionista': 5205, 'quota': 7}, {'azionista': 6009, 'quota': 49}]",65
121,"Hampton, Little and Bush",1963-02-26,"[{'azionista': 6731, 'quota': 32}, {'azionista': 7531, 'quota': 39}, {'azionista': 8339, 'quota': 18}, {'azionista': 6757, 'quota': 11}]",92
122,"Cross, Turner and Kelly",1997-02-26,"[{'azionista': 8335, 'quota': 98}, {'azionista': 5457, 'quota': 2}]",95
123,"Vasquez, Foster and Obrien",1987-01-12,"[{'azionista': 5317, 'quota': 47}, {'azionista': 7713, 'quota': 39}, {'azionista': 8584, 'quota': 14}]",82
124,Mack Ltd,1981-08-29,"[{'azionista': 6044, 'quota': 39}, {'azionista': 5183, 'quota': 16}, {'azionista': 6366, 'quota': 24}, {'azionista': 4531, 'quota': 18}, {'azionista': 8123, 'quota': 3}]",64
125,"Bailey, Miller and Clark",1975-08-31,"[{'azionista': 7774, 'quota': 53}, {'azionista': 7853, 'quota': 40}, {'azionista': 4128, 'quota': 7}]",61
126,"Jordan, Johnson and Tran",1985-07-16,"[{'azionista': 5245, 'quota': 49}, {'azionista': 5110, 'quota': 19}, {'azionista': 5555, 'quota': 32}]",97
127,Morgan LLC,1990-01-16,"[{'azionista': 5412, 'quota': 91}, {'azionista': 8434, 'quota': 9}]",92
128,"Harris, Lewis and Oconnor",1999-06-30,"[{'azionista': 5777, 'quota': 29}, {'azionista': 7539, 'quota': 71}]",16
129,Smith and Sons,1983-12-22,"[{'azionista': 6881, 'quota': 34}, {'azionista': 7212, 'quota': 31}, {'azionista': 5407, 'quota': 28}, {'azionista': 8581, 'quota': 7}]",16
130,"Larson, Phelps and Lowery",1970-07-20,"[{'azionista': 7770, 'quota': 59}, {'azionista': 7206, 'quota': 41}]",56
131,Jimenez and Sons,1976-05-14,"[{'azionista': 5321, 'quota': 51}, {'azionista': 7133, 'quota': 49}]",86
132,Richardson Ltd,1978-12-08,"[{'azionista': 6618, 'quota': 55}, {'azionista': 7543, 'quota': 45}]",70
133,Robinson-Reese,1978-07-04,"[{'azionista': 7125, 'quota': 43}, {'azionista': 4495, 'quota': 43}, {'azionista': 4813, 'quota': 14}]",21
134,Nguyen-Daniels,1960-09-04,"[{'azionista': 8376, 'quota': 32}, {'azionista': 4498, 'quota': 36}, {'azionista': 5815, 'quota': 32}]",32
135,Kelly-Lara,1993-08-30,"[{'azionista': 6263, 'quota': 44}, {'azionista': 5187, 'quota': 56}]",94
136,Santos Ltd,1997-10-15,"[{'azionista': 8007, 'quota': 25}, {'azionista': 4989, 'quota': 58}, {'azionista': 3918, 'quota': 17}]",50
137,Cook Ltd,1962-12-30,"[{'azionista': 3824, 'quota': 97}, {'azionista': 8431, 'quota': 3}]",84
138,Walsh LLC,1992-07-30,"[{'azionista': 7156, 'quota': 96}, {'azionista': 6069, 'quota': 4}]",77
139,Harding LLC,1987-03-16,"[{'azionista': 6723, 'quota': 65}, {'azionista': 5914, 'quota': 22}, {'azionista': 8393, 'quota': 13}]",28
140,"Sharp, Young and Curry",1988-03-25,"[{'azionista': 6906, 'quota': 28}, {'azionista': 7866, 'quota': 72}]",73
141,Rivera-James,1975-09-27,"[{'azionista': 4915, 'quota': 56}, {'azionista': 4062, 'quota': 44}]",95
142,Briggs Group,1960-06-26,"[{'azionista': 6133, 'quota': 95}, {'azionista': 6517, 'quota': 5}]",68
143,Mann Inc,1982-02-10,"[{'azionista': 6210, 'quota': 73}, {'azionista': 8020, 'quota': 17}, {'azionista': 6341, 'quota': 10}]",24
144,Harrison Group,1984-04-06,"[{'azionista': 3812, 'quota': 61}, {'azionista': 6026, 'quota': 39}]",94
145,"Brennan, Heath and Stewart",1988-05-24,"[{'azionista': 5421, 'quota': 31}, {'azionista': 7624, 'quota': 69}]",101
146,"Anderson, Davis and Schultz",1992-11-23,"[{'azionista': 5327, 'quota': 91}, {'azionista': 5675, 'quota': 9}]",8
147,"Hendricks, Allen and Davis",1968-10-27,"[{'azionista': 4996, 'quota': 88}, {'azionista': 7006, 'quota': 12}]",59
148,Everett-Ford,1969-05-02,"[{'azionista': 4440, 'quota': 35}, {'azionista': 7412, 'quota': 61}, {'azionista': 5285, 'quota': 4}]",2
149,Estrada Ltd,1982-10-14,"[{'azionista': 8697, 'quota': 60}, {'azionista': 5966, 'quota': 10}, {'azionista': 3837, 'quota': 30}]",65
150,"Kelly, White and Garner",1975-06-24,"[{'azionista': 5452, 'quota': 21}, {'azionista': 5961, 'quota': 44}, {'azionista': 8397, 'quota': 35}]",25
151,Grimes and Sons,1994-02-07,"[{'azionista': 5323, 'quota': 25}, {'azionista': 4926, 'quota': 18}, {'azionista': 6317, 'quota': 42}, {'azionista': 5223, 'quota': 15}]",24
152,Hansen-Scott,1996-05-22,"[{'azionista': 4152, 'quota': 31}, {'azionista': 8375, 'quota': 39}, {'azionista': 7675, 'quota': 30}]",55
153,"Martin, Cabrera and Nichols",1997-02-11,"[{'azionista': 5912, 'quota': 43}, {'azionista': 3805, 'quota': 45}, {'azionista': 4164, 'quota': 12}]",19
154,"Barrett, Spencer and Martinez",1965-04-20,"[{'azionista': 6076, 'quota': 91}, {'azionista': 8223, 'quota': 9}]",62
155,"Mathews, Mendoza and Clements",1993-09-11,"[{'azionista': 4630, 'quota': 50}, {'azionista': 8565, 'quota': 2}, {'azionista': 4652, 'quota': 12}, {'azionista': 6015, 'quota': 24}, {'azionista': 5318, 'quota': 12}]",72
156,Riley-Barnett,1995-01-12,"[{'azionista': 8584, 'quota': 87}, {'azionista': 6025, 'quota': 13}]",76
157,Estrada Inc,1990-05-09,"[{'azionista': 5043, 'quota': 24}, {'azionista': 5344, 'quota': 76}]",6
158,Thompson Ltd,1986-07-13,"[{'azionista': 3966, 'quota': 94}, {'azionista': 7079, 'quota': 6}]",8
159,Cain PLC,1967-01-22,"[{'azionista': 5417, 'quota': 77}, {'azionista': 6962, 'quota': 23}]",95
160,"Wu, Miller and Andrews",1966-07-24,"[{'azionista': 8644, 'quota': 8}, {'azionista': 7736, 'quota': 59}, {'azionista': 8637, 'quota': 33}]",22
161,"Patterson, Dominguez and Holmes",1974-02-19,"[{'azionista': 6162, 'quota': 24}, {'azionista': 8193, 'quota': 76}]",45
162,"Dunn, Frey and Lopez",1977-01-22,"[{'azionista': 7689, 'quota': 19}, {'azionista': 7284, 'quota': 8}, {'azionista': 6377, 'quota': 47}, {'azionista': 6105, 'quota': 6}, {'azionista': 6202, 'quota': 20}]",49
163,"Harrison, Matthews and Harris",1997-04-17,"[{'azionista': 6323, 'quota': 99}, {'azionista': 5377, 'quota': 1}]",79
164,"Anthony, Jennings and Tran",1998-10-05,"[{'azionista': 7630, 'quota': 72}, {'azionista': 7594, 'quota': 28}]",34
165,Nunez-Ferrell,1995-10-17,"[{'azionista': 7940, 'quota': 63}, {'azionista': 6392, 'quota': 37}]",68
166,Miller PLC,1978-04-03,"[{'azionista': 8371, 'quota': 23}, {'azionista': 4904, 'quota': 16}, {'azionista': 4856, 'quota': 61}]",15
167,Walker-Perez,1969-04-19,"[{'azionista': 6919, 'quota': 14}, {'azionista': 4232, 'quota': 55}, {'azionista': 8652, 'quota': 31}]",86
168,Anderson Group,1995-06-22,"[{'azionista': 6249, 'quota': 63}, {'azionista': 6914, 'quota': 2}, {'azionista': 7386, 'quota': 35}]",40
169,"Norris, Porter and Miller",1997-06-18,"[{'azionista': 6527, 'quota': 32}, {'azionista': 4532, 'quota': 68}]",5
170,Allen and Sons,1990-10-16,"[{'azionista': 4789, 'quota': 54}, {'azionista': 8280, 'quota': 9}, {'azionista': 4440, 'quota': 29}, {'azionista': 7871, 'quota': 8}]",102
171,Johnson Inc,1992-08-19,"[{'azionista': 7668, 'quota': 9}, {'azionista': 6325, 'quota': 57}, {'azionista': 6592, 'quota': 6}, {'azionista': 7765, 'quota': 28}]",61
172,"Roberts, Franco and Harris",1996-07-16,"[{'azionista': 4102, 'quota': 69}, {'azionista': 4539, 'quota': 31}]",58
173,Aguilar Ltd,1986-04-10,"[{'azionista': 6760, 'quota': 69}, {'azionista': 4886, 'quota': 31}]",68
174,"Wade, Dixon and Stephens",1976-01-02,"[{'azionista': 7652, 'quota': 14}, {'azionista': 6408, 'quota': 28}, {'azionista': 8256, 'quota': 26}, {'azionista': 4077, 'quota': 32}]",42
175,Lozano PLC,1990-09-19,"[{'azionista': 7066, 'quota': 87}, {'azionista': 4983, 'quota': 13}]",35
176,Day-Carrillo,1995-11-20,"[{'azionista': 5212, 'quota': 80}, {'azionista': 8641, 'quota': 20}]",58
177,George Inc,1986-11-15,"[{'azionista': 4058, 'quota': 38}, {'azionista': 7860, 'quota': 25}, {'azionista': 6704, 'quota': 37}]",17
178,King-Moss,1985-11-25,"[{'azionista': 4394, 'quota': 84}, {'azionista': 7105, 'quota': 16}]",45
179,"Dunn, Humphrey and Flores",1979-07-30,"[{'azionista': 5146, 'quota': 54}, {'azionista': 3769, 'quota': 6}, {'azionista': 4002, 'quota': 40}]",44
180,Gray and Sons,1975-04-19,"[{'azionista': 8084, 'quota': 70}, {'azionista': 4966, 'quota': 30}]",58
181,Williams-Obrien,1999-01-23,"[{'azionista': 6828, 'quota': 51}, {'azionista': 3983, 'quota': 49}]",9
